timestamp,stabilizer.roll,stabilizer.pitch,stateEstimateZ.rateRoll,stateEstimateZ.ratePitch,controller.pitchRate,controller.rollRate,roll,pitch,yawdot,thrust
803375,-38.80324935913086,64.3400650024414,2.0,-4.0,-388.3566589355469,234.21649169921875,0,0,0,40000
803385,-38.794002532958984,64.33474731445312,8.0,-20.0,-390.2548522949219,235.32493591308594,0,0,0,40000
803395,-38.77532958984375,64.30279541015625,-17.0,-25.0,-391.9925842285156,236.37620544433594,0,0,0,40000
803405,-38.765018463134766,64.26527404785156,-62.0,-92.0,-393.6959533691406,237.4774627685547,0,0,0,40000
803415,-38.65194320678711,64.13311767578125,-31.0,-275.0,-394.8289794921875,237.9605712890625,0,0,0,40000
803425,-38.42619705200195,63.9540901184082,78.0,-545.0,-395.6757507324219,237.76181030273438,0,0,0,40000
803435,-37.803627014160156,63.527713775634766,41.0,-913.0,-395.02899169921875,235.16905212402344,0,0,0,40000
803445,-37.105899810791016,63.06070327758789,35.0,-1464.0,-394.1246337890625,232.1046600341797,0,0,0,40000
803455,-35.611175537109375,62.057186126708984,23.0,-2101.0,-389.9783630371094,224.2239532470703,0,0,0,40000
803465,-34.3015022277832,61.122047424316406,55.0,-2836.0,-386.2127990722656,217.41104125976562,0,0,0,40000
803475,-31.945650100708008,59.262939453125,140.0,-3651.0,-376.85986328125,204.26385498046875,0,0,0,40000
803485,-30.165441513061523,57.67033386230469,178.0,-4543.0,-369.053955078125,194.50914001464844,0,0,0,40000
803495,-27.299591064453125,54.66532516479492,177.0,-5500.0,-352.7018737792969,178.16751098632812,0,0,0,40000
803505,-25.32880401611328,52.23945236206055,249.0,-6513.0,-339.7434997558594,167.12625122070312,0,0,0,40000
803515,-22.416433334350586,47.93025207519531,454.0,-7402.0,-315.37982177734375,150.35928344726562,0,0,0,40000
803525,-20.57517433166504,44.67442321777344,661.0,-8146.0,-297.224609375,139.95108032226562,0,0,0,40000
803535,-18.01165008544922,39.364192962646484,827.0,-8549.0,-266.6088562011719,125.14033508300781,0,0,0,40000
803545,-16.443450927734375,35.64795684814453,987.0,-8840.0,-245.42556762695312,116.2430419921875,0,0,0,40000
803555,-14.279220581054688,29.96965980529785,1259.0,-8749.0,-212.32290649414062,103.7115249633789,0,0,0,40000
803565,-12.932731628417969,26.237197875976562,1574.0,-8463.0,-190.75994873046875,96.03673553466797,0,0,0,40000
803575,-11.000797271728516,20.88717269897461,1873.0,-7935.0,-159.34963989257812,84.79824829101562,0,0,0,40000
803585,-9.746743202209473,17.583091735839844,2065.0,-7220.0,-140.0918731689453,77.58123016357422,0,0,0,40000
803595,-7.858396530151367,13.16871166229248,2315.0,-6260.0,-114.0516128540039,66.50949096679688,0,0,0,40000
803605,-6.570798397064209,10.68363094329834,2529.0,-5140.0,-99.49089813232422,58.996490478515625,0,0,0,40000
803615,-4.64909029006958,7.771346569061279,2763.0,-3777.0,-82.28239440917969,47.62921142578125,0,0,0,40000
803625,-3.332563877105713,6.445101737976074,2873.0,-2362.0,-74.53338623046875,39.84591293334961,0,0,0,40000
803635,-1.3333799839019775,5.4665422439575195,2879.0,-832.0,-68.83450317382812,27.914690017700195,0,0,0,40000
803645,-0.009652741253376007,5.478715419769287,2823.0,503.0,-69.07106018066406,19.98838996887207,0,0,0,40000
803655,1.9462236166000366,6.2928290367126465,2775.0,1584.0,-74.132568359375,8.218036651611328,0,0,0,40000
803665,3.222118377685547,7.232830047607422,2681.0,2341.0,-79.97787475585938,0.4812965393066406,0,0,0,40000
803675,5.0620293617248535,9.05037784576416,2558.0,2864.0,-91.13188934326172,-10.6881103515625,0,0,0,40000
803685,6.214579105377197,10.432703018188477,2380.0,3195.0,-99.72206115722656,-17.776077270507812,0,0,0,40000
803695,7.862968921661377,12.630894660949707,2147.0,3317.0,-113.26359558105469,-27.883024215698242,0,0,0,40000
803705,8.888248443603516,14.11652660369873,1928.0,3340.0,-122.4983901977539,-34.235877990722656,0,0,0,40000
803715,10.28972053527832,16.275293350219727,1666.0,3213.0,-135.9984130859375,-42.99034881591797,0,0,0,40000
803725,11.132708549499512,17.598482131958008,1494.0,2926.0,-144.3441925048828,-48.30537414550781,0,0,0,40000
803735,12.2181978225708,19.32087516784668,1183.0,2493.0,-155.34408569335938,-55.239166259765625,0,0,0,40000
803745,12.808307647705078,20.25959587097168,889.0,2060.0,-161.45164489746094,-59.08032989501953,0,0,0,40000
803755,13.488595962524414,21.310129165649414,610.0,1399.0,-168.50440979003906,-63.636165618896484,0,0,0,40000
803765,13.788962364196777,21.730417251586914,401.0,812.0,-171.54293823242188,-65.765869140625,0,0,0,40000
803775,14.00611686706543,21.875551223754883,115.0,-54.0,-173.2002410888672,-67.56987762451172,0,0,0,40000
803785,13.987167358398438,21.624326705932617,-81.0,-799.0,-172.21536254882812,-67.79231262207031,0,0,0,40000
803795,13.699361801147461,20.677875518798828,-348.0,-1777.0,-167.29995727539062,-66.56458282470703,0,0,0,40000
803805,13.366893768310547,19.642282485961914,-544.0,-2635.0,-161.57070922851562,-64.89472961425781,0,0,0,40000
803815,12.692840576171875,17.452571868896484,-755.0,-3711.0,-149.10223388671875,-61.31996536254883,0,0,0,40000
803825,12.14389705657959,15.59852409362793,-915.0,-4409.0,-138.3749237060547,-58.324424743652344,0,0,0,40000
803835,11.198819160461426,12.456396102905273,-1133.0,-4887.0,-120.02803039550781,-53.074405670166016,0,0,0,40000
803845,10.518592834472656,10.254308700561523,-1304.0,-4933.0,-107.08805847167969,-49.25371170043945,0,0,0,40000
803855,9.422954559326172,7.030977249145508,-1491.0,-4705.0,-88.0587158203125,-43.03901672363281,0,0,0,40000
803865,8.66226863861084,5.0361127853393555,-1598.0,-4299.0,-76.23406219482422,-38.69193649291992,0,0,0,40000
803875,7.483962535858154,2.422680616378784,-1725.0,-3644.0,-60.686527252197266,-31.912939071655273,0,0,0,40000
803885,6.660959243774414,0.9837248921394348,-1809.0,-2926.0,-52.093223571777344,-27.144683837890625,0,0,0,40000
803895,5.396363735198975,-0.5737884044647217,-1861.0,-1929.0,-42.75352478027344,-19.774168014526367,0,0,0,40000
803905,4.540290355682373,-1.1929532289505005,-1873.0,-1064.0,-39.01679611206055,-14.756977081298828,0,0,0,40000
803915,3.68927001953125,-1.4606202840805054,-1843.0,-144.0,-37.36970138549805,-9.771726608276367,0,0,0,40000
803925,2.440927028656006,-1.3189868927001953,-1749.0,561.0,-38.17671203613281,-2.3696651458740234,0,0,0,40000
803935,1.6478465795516968,-0.9544111490249634,-1671.0,1010.0,-40.330875396728516,2.3299007415771484,0,0,0,40000
803945,0.5335114002227783,-0.15509864687919617,-1554.0,1289.0,-45.111846923828125,8.986785888671875,0,0,0,40000
803955,-0.14631369709968567,0.4693581461906433,-1421.0,1407.0,-48.86510467529297,13.062063217163086,0,0,0,40000
803965,-1.0731995105743408,1.416569709777832,-1253.0,1323.0,-54.57969665527344,18.644811630249023,0,0,0,40000
803975,-1.6124876737594604,1.991408348083496,-1096.0,1147.0,-58.08167266845703,21.92249298095703,0,0,0,40000
803985,-2.3050553798675537,2.6794097423553467,-909.0,860.0,-62.28244400024414,26.139148712158203,0,0,0,40000
803995,-2.6706910133361816,2.9792494773864746,-710.0,463.0,-64.16746520996094,28.408811569213867,0,0,0,40000
804005,-3.0916852951049805,3.136862277984619,-496.0,15.0,-65.20631408691406,31.022974014282227,0,0,0,40000
804015,-3.2689273357391357,3.021667003631592,-305.0,-540.0,-64.60746765136719,32.18247985839844,0,0,0,40000
804025,-3.4115042686462402,2.43351674079895,-103.0,-1159.0,-61.16001892089844,33.138999938964844,0,0,0,40000
804035,-3.4094455242156982,1.7505401372909546,87.0,-1783.0,-57.123207092285156,33.22905731201172,0,0,0,40000
804045,-3.27321457862854,0.3681272268295288,293.0,-2230.0,-48.857322692871094,32.511962890625,0,0,0,40000
804055,-3.094001293182373,-0.7131354808807373,468.0,-2453.0,-42.36147689819336,31.53176498413086,0,0,0,40000
804065,-2.7201108932495117,-2.37135648727417,637.0,-2348.0,-32.3607177734375,29.374887466430664,0,0,0,40000
804075,-2.3986976146698,-3.3717780113220215,778.0,-2009.0,-26.26885223388672,27.522323608398438,0,0,0,40000
804085,-1.8367270231246948,-4.556265354156494,875.0,-1414.0,-19.03812026977539,24.21261215209961,0,0,0,40000
804095,-1.423098087310791,-5.03574275970459,965.0,-692.0,-16.015546798706055,21.778568267822266,0,0,0,40000
804105,-0.7327138185501099,-5.273232936859131,1028.0,10.0,-14.433746337890625,17.66669464111328,0,0,0,40000
804115,-0.23993469774723053,-5.123650550842285,1095.0,565.0,-15.175416946411133,14.723172187805176,0,0,0,40000
804125,0.5350820422172546,-4.617403030395508,1127.0,886.0,-18.067630767822266,10.066399574279785,0,0,0,40000
804135,1.0599586963653564,-4.169538974761963,1154.0,995.0,-20.624309539794922,6.891664981842041,0,0,0,40000
804145,1.8512439727783203,-3.5151124000549316,1158.0,892.0,-24.437782287597656,2.097940444946289,0,0,0,40000
804155,2.3818416595458984,-3.1584765911102295,1149.0,660.0,-26.478694915771484,-1.1507205963134766,0,0,0,40000
804165,3.166137933731079,-2.8414313793182373,1118.0,259.0,-28.29279327392578,-5.942131996154785,0,0,0,40000
804175,3.667724132537842,-2.839818239212036,1071.0,-276.0,-28.21756362915039,-9.055700302124023,0,0,0,40000
804185,4.385937690734863,-3.2256453037261963,996.0,-851.0,-25.8117618560791,-13.488078117370605,0,0,0,40000
804195,4.82847261428833,-3.7265586853027344,906.0,-1325.0,-22.70074462890625,-16.282875061035156,0,0,0,40000
804205,5.417630195617676,-4.761048316955566,768.0,-1658.0,-16.364099502563477,-19.97357749938965,0,0,0,40000
804215,5.759797096252441,-5.540930271148682,662.0,-1733.0,-11.527992248535156,-22.195314407348633,0,0,0,40000
804225,6.1912641525268555,-6.667180061340332,532.0,-1545.0,-4.583591461181641,-24.96493911743164,0,0,0,40000
804235,6.426695346832275,-7.277495384216309,421.0,-1140.0,-0.7104682922363281,-26.567567825317383,0,0,0,40000
804245,6.668735980987549,-7.839677333831787,242.0,-535.0,2.8924407958984375,-28.21739387512207,0,0,0,40000
804255,6.758228302001953,-7.948721408843994,85.0,49.0,3.7841758728027344,-28.956111907958984,0,0,0,40000
804265,6.781321048736572,-7.759857654571533,-19.0,504.0,2.887012481689453,-29.298025131225586,0,0,0,40000
804275,6.727712631225586,-7.453614711761475,-157.0,791.0,1.277008056640625,-29.178932189941406,0,0,0,40000
804285,6.5561909675598145,-6.8892364501953125,-265.0,833.0,-1.8957748413085938,-28.34885025024414,0,0,0,40000
804295,6.391289710998535,-6.534855365753174,-463.0,714.0,-3.8218116760253906,-27.5533447265625,0,0,0,40000
804305,6.068304061889648,-6.155037879943848,-471.0,389.0,-5.912269592285156,-25.801403045654297,0,0,0,40000
804315,5.821938991546631,-6.086489677429199,-571.0,-104.0,-6.140403747558594,-24.500869750976562,0,0,0,40000
804325,5.413502216339111,-6.325026988983154,-611.0,-557.0,-4.5232391357421875,-22.217628479003906,0,0,0,40000
804335,5.116988658905029,-6.699635028839111,-645.0,-1018.0,-2.079364776611328,-20.59563446044922,0,0,0,40000
