timestamp,stabilizer.roll,stabilizer.pitch,stateEstimateZ.rateRoll,stateEstimateZ.ratePitch,controller.pitchRate,controller.rollRate,roll,pitch,yawdot,thrust
664876,-36.651920318603516,64.21762084960938,-3.0,-10.0,-773.6939697265625,221.67068481445312,0,0,0,40000
664886,-36.692832946777344,64.20355987548828,11.0,-5.0,-775.4515380859375,223.016357421875,0,0,0,40000
664896,-36.699241638183594,64.16175079345703,-27.0,-78.0,-776.875244140625,224.15576171875,0,0,0,40000
664906,-36.70029067993164,64.06840515136719,-81.0,-157.0,-777.678466796875,225.26316833496094,0,0,0,40000
664916,-36.584693908691406,63.93497085571289,-67.0,-464.0,-777.9970092773438,225.66860961914062,0,0,0,40000
664926,-36.16155242919922,63.56986618041992,52.0,-747.0,-775.5277099609375,224.22071838378906,0,0,0,40000
664936,-35.7093391418457,63.2095832824707,67.0,-1219.0,-773.1051635742188,222.5845184326172,0,0,0,40000
664946,-34.57148361206055,62.35982131958008,-45.0,-1756.0,-764.7899169921875,216.80909729003906,0,0,0,40000
664956,-33.550636291503906,61.57624435424805,6.0,-2407.0,-757.2439575195312,211.70321655273438,0,0,0,40000
664966,-31.619108200073242,59.988182067871094,105.0,-3174.0,-740.00732421875,201.0872344970703,0,0,0,40000
664976,-30.110824584960938,58.61573791503906,133.0,-4022.0,-725.3134155273438,192.95921325683594,0,0,0,40000
664986,-27.57912826538086,56.0172119140625,86.0,-4884.0,-695.844482421875,178.6271209716797,0,0,0,40000
664996,-25.76665687561035,53.88214874267578,194.0,-5816.0,-671.8663940429688,168.54714965820312,0,0,0,40000
665006,-23.0460147857666,50.049560546875,360.0,-6776.0,-627.4248657226562,152.94747924804688,0,0,0,40000
665016,-21.271320343017578,47.03165054321289,464.0,-7852.0,-592.65771484375,142.958740234375,0,0,0,40000
665026,-18.702011108398438,41.774742126464844,509.0,-8776.0,-530.8933715820312,128.13427734375,0,0,0,40000
665036,-17.07607650756836,37.78258514404297,716.0,-9788.0,-484.1694641113281,118.91036987304688,0,0,0,40000
665046,-14.796442985534668,31.14047622680664,1072.0,-10583.0,-405.47991943359375,105.70347595214844,0,0,0,40000
665056,-13.398609161376953,26.369691848754883,1414.0,-11186.0,-349.0791931152344,97.73517608642578,0,0,0,40000
665066,-11.396001815795898,18.877300262451172,1721.0,-11450.0,-259.827392578125,86.08499908447266,0,0,0,40000
665076,-10.111100196838379,13.803102493286133,2034.0,-11435.0,-199.41201782226562,78.69413757324219,0,0,0,40000
665086,-8.226337432861328,6.245936870574951,2431.0,-11090.0,-109.00349426269531,67.65494537353516,0,0,0,40000
