timestamp,stabilizer.roll,stabilizer.pitch,stateEstimateZ.rateRoll,stateEstimateZ.ratePitch,controller.pitchRate,controller.rollRate,roll,pitch,yawdot,thrust
483975,-34.0396614074707,69.03812408447266,2.0,8.0,-416.714111328125,205.46331787109375,0,0,0,40000
483985,-34.04441452026367,69.04206848144531,3.0,24.0,-418.8089294433594,206.512939453125,0,0,0,40000
483995,-34.031463623046875,69.03894805908203,-12.0,-42.0,-420.8614501953125,207.45643615722656,0,0,0,40000
484005,-33.99274444580078,69.0283432006836,33.0,-28.0,-422.8687744140625,208.2445068359375,0,0,0,40000
484015,-33.94200897216797,69.01061248779297,151.0,-46.0,-424.83294677734375,208.95921325683594,0,0,0,40000
484025,-33.79341506958008,68.959716796875,57.0,-127.0,-426.59716796875,209.0835418701172,0,0,0,40000
484035,-33.55571365356445,68.90486145019531,27.0,-203.0,-428.3358154296875,208.66683959960938,0,0,0,40000
484045,-33.076927185058594,68.81468200683594,100.0,-230.0,-429.8602600097656,206.79266357421875,0,0,0,40000
484055,-32.70240020751953,68.76258850097656,187.0,-273.0,-431.6112060546875,205.5311279296875,0,0,0,40000
484065,-32.026458740234375,68.67872619628906,174.0,-262.0,-433.1693420410156,202.44468688964844,0,0,0,40000
484075,-31.544513702392578,68.62593841552734,191.0,-283.0,-434.9120788574219,200.50509643554688,0,0,0,40000
484085,-30.681209564208984,68.50435638427734,232.0,-393.0,-436.2392883300781,196.25665283203125,0,0,0,40000
484095,-30.05902671813965,68.42082214355469,304.0,-332.0,-437.79168701171875,193.43296813964844,0,0,0,40000
484105,-29.09575080871582,68.35264587402344,348.0,-259.0,-439.4339294433594,188.5376434326172,0,0,0,40000
484115,-28.39728546142578,68.30461883544922,358.0,-334.0,-441.195556640625,185.2071533203125,0,0,0,40000
484125,-27.218849182128906,68.18244934082031,429.0,-390.0,-442.509521484375,178.96743774414062,0,0,0,40000
484135,-26.40869903564453,68.1327133178711,495.0,-305.0,-444.2555847167969,174.90858459472656,0,0,0,40000
484145,-25.11746597290039,68.0386962890625,545.0,-382.0,-445.7339782714844,167.9304656982422,0,0,0,40000
484155,-24.152790069580078,67.95201110839844,596.0,-456.0,-447.25347900390625,162.87881469726562,0,0,0,40000
484165,-22.64261245727539,67.82469940185547,601.0,-380.0,-448.5256652832031,154.5151824951172,0,0,0,40000
484175,-21.60851287841797,67.73577117919922,679.0,-449.0,-450.0253601074219,148.97116088867188,0,0,0,40000
484185,-19.866897583007812,67.54395294189453,724.0,-567.0,-450.9033203125,139.13876342773438,0,0,0,40000
484195,-18.693994522094727,67.43023681640625,811.0,-450.0,-452.2452087402344,132.67630004882812,0,0,0,40000
484205,-16.899240493774414,67.30023193359375,909.0,-403.0,-453.48583984375,122.43643188476562,0,0,0,40000
484215,-15.653218269348145,67.18360900878906,1018.0,-484.0,-454.80303955078125,115.44497680664062,0,0,0,40000
484225,-13.687261581420898,66.94053649902344,1101.0,-536.0,-455.3558349609375,104.08363342285156,0,0,0,40000
484235,-12.34325122833252,66.78675842285156,1184.0,-466.0,-456.4385986328125,96.406005859375,0,0,0,40000
484245,-10.295914649963379,66.56735229492188,1264.0,-484.0,-457.1219787597656,84.45571899414062,0,0,0,40000
484255,-8.878718376159668,66.35725402832031,1351.0,-595.0,-457.8547058105469,76.23583984375,0,0,0,40000
484265,-6.750441551208496,66.04718017578125,1427.0,-498.0,-456.2830810546875,63.69407653808594,0,0,0,40000
484275,-5.301925182342529,65.87315368652344,1458.0,-453.0,-455.2389221191406,55.179420471191406,0,0,0,40000
484285,-3.172893524169922,65.57697296142578,1515.0,-530.0,-453.46185302734375,42.52595520019531,0,0,0,40000
484295,-1.769126296043396,65.35247802734375,1550.0,-486.0,-452.1148681640625,34.17329406738281,0,0,0,40000
484305,0.2611258029937744,65.08551025390625,1542.0,-348.0,-450.5130615234375,22.00840950012207,0,0,0,40000
484315,1.5622974634170532,64.9215316772461,1534.0,-363.0,-449.5291748046875,14.170166015625,0,0,0,40000
484325,3.4815738201141357,64.5872802734375,1521.0,-474.0,-447.523681640625,2.5725936889648438,0,0,0,40000
484335,4.716909885406494,64.36402130126953,1465.0,-379.0,-446.18414306640625,-4.966278076171875,0,0,0,40000
484345,6.469336032867432,64.10881805419922,1464.0,-313.0,-444.65289306640625,-15.654449462890625,0,0,0,40000
484355,7.582862854003906,63.925697326660156,1429.0,-396.0,-443.55419921875,-22.54975700378418,0,0,0,40000
484365,9.117623329162598,63.647457122802734,1398.0,-280.0,-441.8847351074219,-32.01348876953125,0,0,0,40000
484375,10.09102725982666,63.511253356933594,1308.0,-224.0,-441.0675048828125,-38.14502716064453,0,0,0,40000
484385,11.385287284851074,63.27073287963867,1209.0,-334.0,-439.6243896484375,-46.23729705810547,0,0,0,40000
484395,12.145678520202637,63.10466003417969,1133.0,-272.0,-438.6279602050781,-51.155029296875,0,0,0,40000
484405,13.150300979614258,62.930931091308594,1035.0,-165.0,-437.5855712890625,-57.56591796875,0,0,0,40000
484415,13.702548027038574,62.83340072631836,917.0,-228.0,-437.0003967285156,-61.283790588378906,0,0,0,40000
484425,14.305333137512207,62.62104415893555,831.0,-318.0,-435.72625732421875,-65.3232650756836,0,0,0,40000
484435,14.613421440124512,62.513404846191406,686.0,-155.0,-435.0804443359375,-67.60662841796875,0,0,0,40000
484445,14.917683601379395,62.42787551879883,530.0,-116.0,-434.5672607421875,-69.87675476074219,0,0,0,40000
484455,15.023608207702637,62.37476348876953,403.0,-187.0,-434.24859619140625,-70.96183013916016,0,0,0,40000
484465,14.94927978515625,62.28321838378906,285.0,-153.0,-433.6993103027344,-70.96541595458984,0,0,0,40000
484475,14.776159286499023,62.27367401123047,140.0,-39.0,-433.64202880859375,-70.37213134765625,0,0,0,40000
484485,14.36923885345459,62.284507751464844,12.0,-129.0,-433.70703125,-68.36719512939453,0,0,0,40000
484495,13.96761703491211,62.222251892089844,-104.0,-265.0,-433.33349609375,-66.38152313232422,0,0,0,40000
484505,13.2085542678833,62.176795959472656,-203.0,-86.0,-433.060791015625,-62.232662200927734,0,0,0,40000
484515,12.606985092163086,62.2419319152832,-342.0,41.0,-433.45159912109375,-59.008819580078125,0,0,0,40000
484525,11.554386138916016,62.28402328491211,-408.0,-104.0,-433.7041320800781,-53.0534782409668,0,0,0,40000
484535,10.768491744995117,62.27150344848633,-536.0,-139.0,-433.6290283203125,-48.67052459716797,0,0,0,40000
484545,9.449989318847656,62.346046447753906,-525.0,77.0,-434.0762939453125,-41.05950927734375,0,0,0,40000
484555,8.540783882141113,62.44371795654297,-618.0,96.0,-434.66229248046875,-35.8713493347168,0,0,0,40000
