timestamp,stabilizer.roll,stabilizer.pitch,stateEstimateZ.rateRoll,stateEstimateZ.ratePitch,controller.pitchRate,controller.rollRate,roll,pitch,yawdot,thrust
872006,-35.97016906738281,64.45946502685547,-7.0,5.0,-389.4640197753906,217.33120727539062,0,0,0,40000
872016,-36.00485610961914,64.45575714111328,-3.0,17.0,-391.3755187988281,218.61903381347656,0,0,0,40000
872026,-36.034217834472656,64.40837097167969,-30.0,-96.0,-393.0242614746094,219.87615966796875,0,0,0,40000
872036,-36.027713775634766,64.34918975830078,-61.0,-157.0,-394.6004638671875,220.91815185546875,0,0,0,40000
872046,-35.92262268066406,64.16987609863281,-48.0,-402.0,-395.4522705078125,221.36724853515625,0,0,0,40000
872056,-35.68049621582031,63.940216064453125,33.0,-653.0,-395.995361328125,220.9879150390625,0,0,0,40000
872066,-35.07648849487305,63.42787170410156,26.0,-1106.0,-394.8310546875,218.42453002929688,0,0,0,40000
872076,-34.39231872558594,62.89585876464844,-11.0,-1646.0,-393.532470703125,215.35975646972656,0,0,0,40000
872086,-32.962162017822266,61.77798080444336,13.0,-2273.0,-388.69305419921875,207.78616333007812,0,0,0,40000
872096,-31.74005889892578,60.762001037597656,90.0,-3023.0,-384.4325866699219,201.42076110839844,0,0,0,40000
872106,-29.564149856567383,58.77168273925781,115.0,-3840.0,-374.2793884277344,189.2794647216797,0,0,0,40000
872116,-27.915857315063477,57.09394454956055,105.0,-4704.0,-365.9463195800781,180.24703979492188,0,0,0,40000
872126,-25.297866821289062,53.99569320678711,191.0,-5604.0,-349.01580810546875,165.3297882080078,0,0,0,40000
872136,-23.51347541809082,51.509525299072266,274.0,-6616.0,-335.6744689941406,155.35031127929688,0,0,0,40000
872146,-20.869434356689453,47.1181640625,377.0,-7520.0,-310.7945861816406,140.1435546875,0,0,0,40000
872156,-19.178077697753906,43.83439254760742,504.0,-8123.0,-292.4467468261719,130.59091186523438,0,0,0,40000
872166,-16.836734771728516,38.54188919067383,736.0,-8491.0,-261.9124755859375,117.07557678222656,0,0,0,40000
872176,-15.396918296813965,34.85490417480469,978.0,-8658.0,-240.88052368164062,108.915771484375,0,0,0,40000
872186,-13.415274620056152,29.270418167114258,1233.0,-8556.0,-208.31869506835938,97.45169067382812,0,0,0,40000
872196,-12.172428131103516,25.61664581298828,1454.0,-8202.0,-187.20831298828125,90.37450408935547,0,0,0,40000
872206,-10.362151145935059,20.383480072021484,1727.0,-7660.0,-156.48260498046875,79.84526062011719,0,0,0,40000
872216,-9.180781364440918,17.15981674194336,2030.0,-6916.0,-137.6936798095703,73.04672241210938,0,0,0,40000
872226,-7.408071517944336,12.893348693847656,2276.0,-5908.0,-112.53077697753906,62.65416717529297,0,0,0,40000
872236,-6.203471660614014,10.5014066696167,2494.0,-4721.0,-98.52226257324219,55.627159118652344,0,0,0,40000
872246,-4.344141483306885,7.73851203918457,2631.0,-3458.0,-82.20753479003906,44.62387466430664,0,0,0,40000
872256,-3.080397367477417,6.518773555755615,2692.0,-1979.0,-75.0985107421875,37.14892578125,0,0,0,40000
872266,-1.1788512468338013,5.701000690460205,2714.0,-431.0,-70.3692626953125,25.797786712646484,0,0,0,40000
872276,0.09227139502763748,5.828138828277588,2711.0,949.0,-71.30464935302734,18.18355369567871,0,0,0,40000
872286,1.9636268615722656,6.853891372680664,2698.0,1995.0,-77.65019989013672,6.919000625610352,0,0,0,40000
872296,3.184633493423462,7.94978666305542,2599.0,2789.0,-84.45046997070312,-0.48796653747558594,0,0,0,40000
872306,4.967890739440918,10.0278902053833,2424.0,3301.0,-97.19389343261719,-11.315526962280273,0,0,0,40000
872316,6.113011360168457,11.596954345703125,2263.0,3623.0,-106.93719482421875,-18.355993270874023,0,0,0,40000
872326,7.746922969818115,14.085260391235352,2064.0,3772.0,-122.25949096679688,-28.372591018676758,0,0,0,40000
872336,8.762773513793945,15.772599220275879,1889.0,3799.0,-132.83642578125,-34.71842575073242,0,0,0,40000
872346,10.173295974731445,18.234691619873047,1597.0,3637.0,-148.126953125,-43.47035217285156,0,0,0,40000
872356,11.012497901916504,19.771224975585938,1369.0,3387.0,-157.92100524902344,-48.82598876953125,0,0,0,40000
872366,12.134285926818848,21.839092254638672,1074.0,2971.0,-170.9594268798828,-55.907962799072266,0,0,0,40000
872376,12.770605087280273,23.016651153564453,827.0,2457.0,-178.70144653320312,-60.10153579711914,0,0,0,40000
872386,13.538658142089844,24.395156860351562,592.0,1844.0,-187.6890869140625,-65.10747528076172,0,0,0,40000
872396,13.902605056762695,25.029573440551758,391.0,1129.0,-192.23922729492188,-67.70397186279297,0,0,0,40000
872406,14.222726821899414,25.486106872558594,181.0,358.0,-195.73910522460938,-70.04826354980469,0,0,0,40000
872416,14.269912719726562,25.454030990600586,-9.0,-454.0,-196.31106567382812,-70.75906372070312,0,0,0,40000
872426,14.093817710876465,24.84000015258789,-253.0,-1374.0,-193.38137817382812,-70.12828063964844,0,0,0,40000
872436,13.821964263916016,24.027498245239258,-450.0,-2374.0,-189.23745727539062,-68.91532135009766,0,0,0,40000
872446,13.216828346252441,22.149818420410156,-640.0,-3363.0,-178.6605224609375,-65.68887329101562,0,0,0,40000
872456,12.691341400146484,20.440954208374023,-798.0,-4397.0,-169.04165649414062,-62.92310333251953,0,0,0,40000
872466,11.763002395629883,17.297636032104492,-968.0,-5071.0,-150.73985290527344,-57.71738815307617,0,0,0,40000
872476,11.083356857299805,14.967876434326172,-1163.0,-5409.0,-137.23849487304688,-53.98023986816406,0,0,0,40000
872486,10.008983612060547,11.359002113342285,-1363.0,-5406.0,-115.9693374633789,-47.84745407104492,0,0,0,40000
872496,9.252296447753906,8.99928092956543,-1536.0,-5142.0,-102.109130859375,-43.59406661987305,0,0,0,40000
872506,8.076022148132324,5.688168525695801,-1679.0,-4645.0,-82.45184326171875,-36.79295349121094,0,0,0,40000
872516,7.260896682739258,3.7370550632476807,-1761.0,-3991.0,-70.88033294677734,-32.12982177734375,0,0,0,40000
872526,6.007072925567627,1.313352108001709,-1839.0,-3168.0,-56.40481185913086,-24.802257537841797,0,0,0,40000
872536,5.149622917175293,0.07640881836414337,-1884.0,-2221.0,-48.99977493286133,-19.82236099243164,0,0,0,40000
872546,3.863537311553955,-1.099585771560669,-1874.0,-1198.0,-41.92274475097656,-12.237176895141602,0,0,0,40000
872556,3.006694793701172,-1.409501314163208,-1836.0,-134.0,-40.02409362792969,-7.196551322937012,0,0,0,40000
872566,1.7716126441955566,-1.1637651920318604,-1774.0,799.0,-41.45861053466797,0.14616012573242188,0,0,0,40000
872576,0.9719619154930115,-0.6359851956367493,-1673.0,1485.0,-44.599517822265625,4.905354022979736,0,0,0,40000
872586,-0.14740398526191711,0.5292827486991882,-1569.0,1898.0,-51.59210205078125,11.612749099731445,0,0,0,40000
872596,-0.8392218947410583,1.4591822624206543,-1462.0,2131.0,-57.20402908325195,15.780574798583984,0,0,0,40000
872606,-1.7888187170028687,2.950525999069214,-1303.0,2192.0,-66.22252655029297,21.520767211914062,0,0,0,40000
872616,-2.352857828140259,3.927658796310425,-1119.0,2105.0,-72.19146728515625,24.968921661376953,0,0,0,40000
872626,-3.0689401626586914,5.297076225280762,-927.0,1886.0,-80.55088806152344,29.349271774291992,0,0,0,40000
872636,-3.4615564346313477,6.09455680847168,-734.0,1589.0,-85.50923156738281,31.80419921875,0,0,0,40000
872646,-3.9184281826019287,7.033522129058838,-553.0,1163.0,-91.34371948242188,34.657958984375,0,0,0,40000
872656,-4.132750034332275,7.437893867492676,-338.0,659.0,-93.98853302001953,36.06544876098633,0,0,0,40000
872666,-4.3119049072265625,7.67952823638916,-143.0,56.0,-95.66707611083984,37.26804733276367,0,0,0,40000
872676,-4.336297035217285,7.553103923797607,81.0,-610.0,-95.13700866699219,37.54429626464844,0,0,0,40000
872686,-4.222956657409668,6.894915580749512,244.0,-1340.0,-91.4041519165039,36.992610931396484,0,0,0,40000
872696,-4.048109531402588,6.10760498046875,422.0,-2139.0,-86.87344360351562,36.06715774536133,0,0,0,40000
