timestamp,stabilizer.roll,stabilizer.pitch,stateEstimateZ.rateRoll,stateEstimateZ.ratePitch,controller.pitchRate,controller.rollRate,roll,pitch,yawdot,thrust
992089,-37.80986022949219,63.527713775634766,2.0,-2.0,-383.8345642089844,228.44711303710938,0,0,0,40000
992099,-37.82579040527344,63.51710891723633,-1.0,-8.0,-385.6766052246094,229.67727661132812,0,0,0,40000
992109,-37.84469223022461,63.4786262512207,-34.0,-84.0,-387.3507080078125,230.9259033203125,0,0,0,40000
992119,-37.81924819946289,63.418357849121094,-5.0,-196.0,-388.8924255371094,231.90834045410156,0,0,0,40000
992129,-37.649635314941406,63.22686767578125,10.0,-433.0,-389.6430969238281,232.02293395996094,0,0,0,40000
992139,-37.353553771972656,62.987091064453125,39.0,-714.0,-390.0970458984375,231.37083435058594,0,0,0,40000
992149,-36.635162353515625,62.45616912841797,22.0,-1188.0,-388.7923583984375,228.16921997070312,0,0,0,40000
992159,-35.86957931518555,61.90552520751953,-3.0,-1795.0,-387.3525085449219,224.66123962402344,0,0,0,40000
992169,-34.26875305175781,60.72455596923828,46.0,-2503.0,-382.1039123535156,216.1051025390625,0,0,0,40000
992179,-32.89960479736328,59.6490592956543,123.0,-3289.0,-377.45367431640625,208.89404296875,0,0,0,40000
992189,-30.479421615600586,57.525634765625,141.0,-4177.0,-366.4660949707031,195.31739807128906,0,0,0,40000
992199,-28.663333892822266,55.715362548828125,177.0,-5138.0,-357.29815673828125,185.30270385742188,0,0,0,40000
992209,-25.828216552734375,52.356719970703125,255.0,-6147.0,-338.7594299316406,169.10107421875,0,0,0,40000
992219,-23.921581268310547,49.67996597290039,390.0,-7150.0,-324.22198486328125,158.40182495117188,0,0,0,40000
992229,-21.139127731323242,45.050045013427734,523.0,-7863.0,-297.8511962890625,142.37405395507812,0,0,0,40000
992239,-19.3979549407959,41.64820098876953,690.0,-8397.0,-278.73077392578125,132.52963256835938,0,0,0,40000
992249,-16.983726501464844,36.239173889160156,907.0,-8689.0,-247.42955017089844,118.58197021484375,0,0,0,40000
992259,-15.504486083984375,32.53274154663086,1134.0,-8640.0,-226.21145629882812,110.18930053710938,0,0,0,40000
992269,-13.453722953796387,27.01051902770996,1406.0,-8395.0,-193.9543914794922,98.31257629394531,0,0,0,40000
992279,-12.150009155273438,23.45235824584961,1706.0,-7951.0,-173.35145568847656,90.87039947509766,0,0,0,40000
992289,-10.26384449005127,18.454456329345703,2012.0,-7248.0,-143.9762420654297,79.88396453857422,0,0,0,40000
992299,-9.00518798828125,15.434301376342773,2300.0,-6382.0,-126.3541259765625,72.61740112304688,0,0,0,40000
992309,-7.116978645324707,11.558902740478516,2491.0,-5256.0,-103.49279022216797,61.52439880371094,0,0,0,40000
992319,-5.8346381187438965,9.482817649841309,2663.0,-4005.0,-91.34501647949219,54.02082061767578,0,0,0,40000
