timestamp,stabilizer.roll,stabilizer.pitch,stateEstimateZ.rateRoll,stateEstimateZ.ratePitch,controller.pitchRate,controller.rollRate,roll,pitch,yawdot,thrust
1035347,-41.485198974609375,63.4703369140625,2.0,1.0,-382.72613525390625,250.15579223632812,0,0,0,40000
1035357,-41.514678955078125,63.468685150146484,-1.0,0.0,-384.620361328125,251.5777130126953,0,0,0,40000
1035367,-41.52582931518555,63.44544982910156,-3.0,-82.0,-386.3846740722656,252.89036560058594,0,0,0,40000
1035377,-41.51612091064453,63.381080627441406,24.0,-103.0,-387.9007568359375,254.07785034179688,0,0,0,40000
1035387,-41.46109390258789,63.301597595214844,38.0,-292.0,-389.3239440917969,254.99244689941406,0,0,0,40000
1035397,-41.11722946166992,63.02315139770508,7.0,-560.0,-389.54779052734375,254.167724609375,0,0,0,40000
1035407,-40.727142333984375,62.75480651855469,-5.0,-878.0,-389.82366943359375,253.05389404296875,0,0,0,40000
1035417,-39.69011688232422,62.09314727783203,45.0,-1461.0,-387.7254333496094,248.03646850585938,0,0,0,40000
1035427,-38.719398498535156,61.46000671386719,36.0,-2071.0,-385.7781982421875,243.3858184814453,0,0,0,40000
1035437,-36.77492141723633,60.13112258911133,26.0,-2792.0,-379.6261291503906,232.84686279296875,0,0,0,40000
1035447,-35.175636291503906,58.944488525390625,65.0,-3630.0,-374.289306640625,224.32595825195312,0,0,0,40000
1035457,-32.421714782714844,56.63041305541992,171.0,-4526.0,-362.1332702636719,208.8092803955078,0,0,0,40000
1035467,-30.43307113647461,54.70144271850586,189.0,-5477.0,-352.2240905761719,197.8143310546875,0,0,0,40000
1035477,-27.355140686035156,51.14008331298828,228.0,-6511.0,-332.43499755859375,180.20452880859375,0,0,0,40000
1035487,-25.312755584716797,48.33539581298828,370.0,-7371.0,-317.0910949707031,168.7340545654297,0,0,0,40000
1035497,-22.41316795349121,43.60496520996094,551.0,-8017.0,-290.0749206542969,152.0430908203125,0,0,0,40000
1035507,-20.62113380432129,40.18996047973633,746.0,-8425.0,-270.83184814453125,141.93084716796875,0,0,0,40000
1035517,-18.18085479736328,34.85078048706055,934.0,-8566.0,-239.90679931640625,127.86307525634766,0,0,0,40000
1035527,-16.692974090576172,31.252685546875,1149.0,-8491.0,-219.29898071289062,119.45427703857422,0,0,0,40000
1035537,-14.62501049041748,25.926860809326172,1453.0,-8182.0,-188.1852264404297,107.50971984863281,0,0,0,40000
1035547,-13.314820289611816,22.52883529663086,1790.0,-7651.0,-168.51348876953125,100.06375122070312,0,0,0,40000
