timestamp,stabilizer.roll,stabilizer.pitch,stateEstimateZ.rateRoll,stateEstimateZ.ratePitch,controller.pitchRate,controller.rollRate,roll,pitch,yawdot,thrust
5344083,-24.621280670166016,59.67455291748047,-4.0,0.0,-360.9117126464844,148.61395263671875,0,0,0,40000
5344093,-24.641822814941406,59.66745376586914,-14.0,-7.0,-362.7786560058594,149.32833862304688,0,0,0,40000
5344103,-24.673404693603516,59.6581916809082,-16.0,-40.0,-365.1095886230469,150.25765991210938,0,0,0,40000
5344113,-24.718015670776367,59.59507751464844,12.0,-83.0,-367.1158142089844,151.26625061035156,0,0,0,40000
5344123,-24.75557518005371,59.51351547241211,-49.0,-188.0,-369.00830078125,152.23370361328125,0,0,0,40000
5344133,-24.760643005371094,59.268802642822266,-124.0,-508.0,-369.91552734375,153.00697326660156,0,0,0,40000
5344143,-24.701021194458008,58.99884796142578,-96.0,-685.0,-370.66015625,153.39112854003906,0,0,0,40000
5344153,-24.51654624938965,58.40404510498047,40.0,-1076.0,-369.4380798339844,153.02293395996094,0,0,0,40000
5344163,-24.2954158782959,57.82550048828125,-35.0,-1503.0,-368.28936767578125,152.42779541015625,0,0,0,40000
5344173,-23.74565887451172,56.67326736450195,-122.0,-2056.0,-363.6627502441406,149.84854125976562,0,0,0,40000
5344183,-23.229433059692383,55.675785064697266,-32.0,-2619.0,-359.9212646484375,147.45449829101562,0,0,0,40000
5344193,-22.281431198120117,53.78990173339844,65.0,-3250.0,-350.78955078125,142.44708251953125,0,0,0,40000
5344203,-21.51359748840332,52.23565673828125,34.0,-4004.0,-343.578857421875,138.49481201171875,0,0,0,40000
5344213,-20.205394744873047,49.419551849365234,43.0,-4785.0,-328.7061462402344,131.26783752441406,0,0,0,40000
5344223,-19.237459182739258,47.206764221191406,154.0,-5569.0,-317.35369873046875,126.049072265625,0,0,0,40000
5344233,-17.712158203125,43.38089370727539,310.0,-6302.0,-296.1968994140625,117.44733428955078,0,0,0,40000
5344243,-16.6617488861084,40.52419662475586,392.0,-6927.0,-280.72381591796875,111.65735626220703,0,0,0,40000
5344253,-15.059549331665039,35.85558319091797,643.0,-7429.0,-254.2226104736328,102.51522827148438,0,0,0,40000
5344263,-13.97870922088623,32.5660514831543,831.0,-7706.0,-235.84091186523438,96.46244812011719,0,0,0,40000
5344273,-12.390235900878906,27.498750686645508,1087.0,-7706.0,-206.61831665039062,87.32229614257812,0,0,0,40000
5344283,-11.355730056762695,24.14897346496582,1343.0,-7477.0,-187.53904724121094,81.46835327148438,0,0,0,40000
5344293,-9.82807731628418,19.348154067993164,1571.0,-6995.0,-159.58358764648438,72.61553955078125,0,0,0,40000
5344303,-8.807764053344727,16.417211532592773,1743.0,-6243.0,-142.70098876953125,66.77008056640625,0,0,0,40000
5344313,-7.281235694885254,12.55525016784668,1929.0,-5323.0,-120.09074401855469,57.84762191772461,0,0,0,40000
5344323,-6.253363609313965,10.427042961120605,2053.0,-4177.0,-107.77180480957031,51.88035583496094,0,0,0,40000
5344333,-4.719490051269531,8.029288291931152,2157.0,-2964.0,-93.74130249023438,42.837249755859375,0,0,0,40000
5344343,-3.685776710510254,6.987198352813721,2225.0,-1717.0,-87.78402709960938,36.75799560546875,0,0,0,40000
5344353,-2.1462764739990234,6.183215141296387,2203.0,-700.0,-83.21736145019531,27.603761672973633,0,0,0,40000
5344363,-1.1332497596740723,6.065443992614746,2158.0,95.0,-82.75468444824219,21.571697235107422,0,0,0,40000
5344373,0.33691805601119995,6.30151891708374,2068.0,583.0,-84.41796875,12.757977485656738,0,0,0,40000
