timestamp,motor.m1,motor.m2,motor.m3,motor.m4,roll,pitch,yawdot,thrust
1071296,7243.0,39991.0,65535.0,39991.0,0,0,0,40000
1071306,7328.0,39906.0,65535.0,39906.0,0,0,0,40000
1071316,7504.0,39730.0,65535.0,39730.0,0,0,0,40000
1071326,7581.0,39653.0,65535.0,39653.0,0,0,0,40000
1071336,7682.0,39552.0,65535.0,39552.0,0,0,0,40000
1071346,7871.0,39363.0,65535.0,39363.0,0,0,0,40000
1071356,7656.0,39578.0,65535.0,39578.0,0,0,0,40000
1071366,7594.0,39640.0,65535.0,39640.0,0,0,0,40000
1071376,7398.0,39836.0,65535.0,39836.0,0,0,0,40000
1071386,7238.0,39996.0,65535.0,39996.0,0,0,0,40000
1071396,7074.0,40160.0,65535.0,40160.0,0,0,0,40000
1071406,6457.0,40777.0,65535.0,40777.0,0,0,0,40000
1071416,9380.0,37854.0,65535.0,44490.0,0,0,0,40000
1071426,11560.0,35674.0,65082.0,47684.0,0,0,0,40000
1071436,25300.0,21934.0,49906.0,62860.0,0,0,0,40000
1071446,29342.0,17892.0,44028.0,65535.0,0,0,0,40000
1071456,35693.0,11541.0,35693.0,65535.0,0,0,0,40000
1071466,35166.0,12068.0,35166.0,65535.0,0,0,0,40000
1071476,40566.0,18356.0,28878.0,65535.0,0,0,0,40000
1071486,40632.0,20170.0,27064.0,65535.0,0,0,0,40000
1071496,46393.0,26229.0,21005.0,65535.0,0,0,0,40000
1071506,46088.0,26024.0,21210.0,65535.0,0,0,0,40000
1071516,54204.0,32494.0,14740.0,58562.0,0,0,0,40000
1071526,54159.0,32873.0,16309.0,56659.0,0,0,0,40000
1071536,56722.0,40440.0,13948.0,48890.0,0,0,0,40000
1071546,45135.0,51605.0,27771.0,35489.0,0,0,0,40000
1071556,43332.0,61116.0,30582.0,24970.0,0,0,0,40000
1071566,35066.0,65535.0,40438.0,15686.0,0,0,0,40000
1071576,35353.0,65535.0,39629.0,11881.0,0,0,0,40000
1071586,33497.0,65535.0,41211.0,13737.0,0,0,0,40000
1071596,37431.0,65535.0,37879.0,9803.0,0,0,0,40000
1071606,36998.0,65535.0,37840.0,10236.0,0,0,0,40000
1071616,36916.0,65535.0,36916.0,10318.0,0,0,0,40000
1071626,35158.0,65535.0,39428.0,12076.0,0,0,0,40000
1071636,36286.0,65535.0,38066.0,10948.0,0,0,0,40000
1071646,33370.0,65535.0,41426.0,13864.0,0,0,0,40000
1071656,34411.0,65535.0,40247.0,12823.0,0,0,0,40000
1071666,32892.0,65535.0,42966.0,14342.0,0,0,0,40000
1071676,32873.0,65535.0,43621.0,14361.0,0,0,0,40000
