timestamp,motor.m1,motor.m2,motor.m3,motor.m4,roll,pitch,yawdot,thrust
859315,7275.0,39959.0,65535.0,39959.0,0,0,0,40000
859325,7419.0,39815.0,65535.0,39815.0,0,0,0,40000
859335,7611.0,39623.0,65535.0,39623.0,0,0,0,40000
859345,7688.0,39546.0,65535.0,39546.0,0,0,0,40000
859355,7835.0,39399.0,65535.0,39399.0,0,0,0,40000
859365,7985.0,39249.0,65535.0,39249.0,0,0,0,40000
859375,7848.0,39386.0,65535.0,39386.0,0,0,0,40000
859385,7783.0,39451.0,65535.0,39451.0,0,0,0,40000
859395,7641.0,39593.0,65535.0,39593.0,0,0,0,40000
859405,7368.0,39866.0,65535.0,39866.0,0,0,0,40000
859415,7032.0,40202.0,65535.0,40202.0,0,0,0,40000
859425,6791.0,40443.0,65535.0,40443.0,0,0,0,40000
859435,12353.0,34881.0,65535.0,46883.0,0,0,0,40000
859445,16252.0,30982.0,60696.0,52070.0,0,0,0,40000
859455,29365.0,17869.0,45923.0,65535.0,0,0,0,40000
859465,29906.0,17328.0,44178.0,65535.0,0,0,0,40000
859475,36182.0,11052.0,36182.0,65535.0,0,0,0,40000
859485,35252.0,11982.0,35252.0,65535.0,0,0,0,40000
859495,38669.0,16595.0,30639.0,65535.0,0,0,0,40000
859505,39739.0,19017.0,28217.0,65535.0,0,0,0,40000
859515,47716.0,27442.0,19792.0,65050.0,0,0,0,40000
859525,45252.0,24922.0,22312.0,65535.0,0,0,0,40000
859535,50443.0,28813.0,18421.0,62323.0,0,0,0,40000
859545,45853.0,36371.0,24145.0,53631.0,0,0,0,40000
859555,53345.0,43557.0,17911.0,45187.0,0,0,0,40000
859565,38918.0,56034.0,32666.0,32382.0,0,0,0,40000
859575,37615.0,65535.0,35719.0,20883.0,0,0,0,40000
859585,30116.0,65535.0,43810.0,17118.0,0,0,0,40000
859595,34069.0,65535.0,40365.0,13165.0,0,0,0,40000
859605,31959.0,65535.0,41275.0,15275.0,0,0,0,40000
859615,36725.0,65535.0,37411.0,10509.0,0,0,0,40000
859625,33161.0,65535.0,40305.0,14073.0,0,0,0,40000
859635,36406.0,65535.0,37742.0,10828.0,0,0,0,40000
859645,32883.0,65535.0,40135.0,14351.0,0,0,0,40000
859655,34463.0,65535.0,39851.0,12771.0,0,0,0,40000
859665,32737.0,65535.0,41113.0,14497.0,0,0,0,40000
859675,35576.0,65535.0,39852.0,11658.0,0,0,0,40000
859685,32478.0,65535.0,42450.0,14756.0,0,0,0,40000
859695,36156.0,65278.0,40860.0,17706.0,0,0,0,40000
859705,37550.0,58896.0,39198.0,24356.0,0,0,0,40000
859715,45773.0,47875.0,32731.0,33621.0,0,0,0,40000
859725,46879.0,43179.0,31651.0,38291.0,0,0,0,40000
859735,52438.0,36324.0,27752.0,43486.0,0,0,0,40000
859745,48236.0,34742.0,31418.0,45604.0,0,0,0,40000
859755,49861.0,25187.0,30405.0,54547.0,0,0,0,40000
859765,43471.0,29555.0,36311.0,50663.0,0,0,0,40000
859775,42752.0,24758.0,36442.0,56048.0,0,0,0,40000
859785,38684.0,31912.0,39658.0,49746.0,0,0,0,40000
859795,32814.0,30298.0,46248.0,50640.0,0,0,0,40000
859805,27438.0,35674.0,50606.0,46282.0,0,0,0,40000
859815,23403.0,33963.0,54497.0,48137.0,0,0,0,40000
859825,19875.0,39331.0,57775.0,43019.0,0,0,0,40000
