timestamp,motor.m1,motor.m2,motor.m3,motor.m4,roll,pitch,yawdot,thrust
1557993,7257.0,39977.0,65535.0,39977.0,0,0,0,40000
1558003,7436.0,39798.0,65535.0,39798.0,0,0,0,40000
1558013,7650.0,39584.0,65535.0,39584.0,0,0,0,40000
1558023,7788.0,39446.0,65535.0,39446.0,0,0,0,40000
1558033,7793.0,39441.0,65535.0,39441.0,0,0,0,40000
1558043,7879.0,39355.0,65535.0,39355.0,0,0,0,40000
1558053,7717.0,39517.0,65535.0,39517.0,0,0,0,40000
1558063,7596.0,39638.0,65535.0,39638.0,0,0,0,40000
1558073,7434.0,39800.0,65535.0,39800.0,0,0,0,40000
1558083,7184.0,40050.0,65535.0,40050.0,0,0,0,40000
1558093,6968.0,40266.0,65535.0,40266.0,0,0,0,40000
1558103,12631.0,34603.0,65535.0,47075.0,0,0,0,40000
1558113,16726.0,30508.0,60814.0,51952.0,0,0,0,40000
1558123,30010.0,17224.0,45828.0,65535.0,0,0,0,40000
1558133,31668.0,15566.0,42890.0,65535.0,0,0,0,40000
1558143,36214.0,11020.0,36214.0,65535.0,0,0,0,40000
1558153,35690.0,11544.0,35690.0,65535.0,0,0,0,40000
1558163,38479.0,16429.0,30805.0,65535.0,0,0,0,40000
1558173,38390.0,16816.0,30418.0,65535.0,0,0,0,40000
1558183,43541.0,22801.0,24433.0,65535.0,0,0,0,40000
1558193,44969.0,23507.0,23727.0,65535.0,0,0,0,40000
1558203,52084.0,30776.0,16458.0,60682.0,0,0,0,40000
1558213,51947.0,29745.0,17489.0,60819.0,0,0,0,40000
1558223,56347.0,36811.0,14127.0,52715.0,0,0,0,40000
1558233,46285.0,47235.0,25861.0,40619.0,0,0,0,40000
1558243,44493.0,58065.0,29433.0,28009.0,0,0,0,40000
1558253,34958.0,65535.0,39180.0,20068.0,0,0,0,40000
1558263,33783.0,65535.0,41095.0,13451.0,0,0,0,40000
1558273,32829.0,65535.0,42567.0,14405.0,0,0,0,40000
1558283,37015.0,65535.0,39073.0,10219.0,0,0,0,40000
1558293,34626.0,65535.0,40638.0,12608.0,0,0,0,40000
1558303,37409.0,65535.0,37587.0,9825.0,0,0,0,40000
1558313,34476.0,65535.0,40466.0,12758.0,0,0,0,40000
1558323,36548.0,65535.0,38408.0,10686.0,0,0,0,40000
1558333,33106.0,65535.0,41086.0,14128.0,0,0,0,40000
1558343,32643.0,65535.0,41797.0,14591.0,0,0,0,40000
1558353,30111.0,65535.0,44709.0,17123.0,0,0,0,40000
1558363,31249.0,65535.0,44583.0,15985.0,0,0,0,40000
1558373,30206.0,64976.0,46248.0,18570.0,0,0,0,40000
1558383,36756.0,59628.0,40638.0,22978.0,0,0,0,40000
1558393,40705.0,50541.0,37905.0,30849.0,0,0,0,40000
1558403,46391.0,39847.0,32611.0,41151.0,0,0,0,40000
1558413,46602.0,36604.0,33114.0,43680.0,0,0,0,40000
1558423,49993.0,24399.0,30501.0,55107.0,0,0,0,40000
1558433,44649.0,26363.0,36051.0,52937.0,0,0,0,40000
1558443,48571.0,22459.0,32449.0,56521.0,0,0,0,40000
1558453,42770.0,25808.0,37752.0,53670.0,0,0,0,40000
1558463,38720.0,20490.0,41476.0,59314.0,0,0,0,40000
1558473,31590.0,27144.0,47348.0,53918.0,0,0,0,40000
1558483,28508.0,27182.0,50632.0,53678.0,0,0,0,40000
1558493,26659.0,36129.0,51577.0,45635.0,0,0,0,40000
1558503,19038.0,35016.0,59056.0,46890.0,0,0,0,40000
1558513,16357.0,38347.0,60977.0,44319.0,0,0,0,40000
1558523,12404.0,36970.0,65472.0,45154.0,0,0,0,40000
1558533,13602.0,40342.0,64072.0,41984.0,0,0,0,40000
1558543,13103.0,39485.0,64633.0,42779.0,0,0,0,40000
1558553,16916.0,39916.0,61184.0,41984.0,0,0,0,40000
1558563,16305.0,37119.0,61831.0,44745.0,0,0,0,40000
1558573,20876.0,33520.0,58372.0,47232.0,0,0,0,40000
1558583,22063.0,33573.0,56843.0,47521.0,0,0,0,40000
1558593,26880.0,32804.0,53014.0,47302.0,0,0,0,40000
1558603,29528.0,31694.0,49560.0,49218.0,0,0,0,40000
1558613,31040.0,30746.0,49220.0,48994.0,0,0,0,40000
1558623,34518.0,32366.0,44588.0,48528.0,0,0,0,40000
1558633,36646.0,33848.0,43360.0,46146.0,0,0,0,40000
1558643,36905.0,36895.0,42379.0,43821.0,0,0,0,40000
1558653,36819.0,37381.0,43405.0,42395.0,0,0,0,40000
1558663,36520.0,39052.0,43362.0,41066.0,0,0,0,40000
1558673,36067.0,41639.0,45345.0,36949.0,0,0,0,40000
1558683,38665.0,44999.0,41851.0,34485.0,0,0,0,40000
1558693,36986.0,46370.0,44432.0,32212.0,0,0,0,40000
1558703,37862.0,47124.0,43702.0,31312.0,0,0,0,40000
1558713,36285.0,46559.0,45421.0,31735.0,0,0,0,40000
1558723,37655.0,49581.0,44001.0,28763.0,0,0,0,40000
1558733,38925.0,48771.0,43091.0,29213.0,0,0,0,40000
1558743,40775.0,48793.0,41027.0,29405.0,0,0,0,40000
1558753,40326.0,45524.0,41272.0,32878.0,0,0,0,40000
1558763,40581.0,45799.0,40303.0,33317.0,0,0,0,40000
1558773,40025.0,44431.0,41137.0,34407.0,0,0,0,40000
1558783,40156.0,45676.0,40326.0,33842.0,0,0,0,40000
1558793,40627.0,44001.0,39893.0,35479.0,0,0,0,40000
1558803,40713.0,44711.0,39219.0,35357.0,0,0,0,40000
1558813,38982.0,41962.0,41182.0,37874.0,0,0,0,40000
1558823,38084.0,40978.0,41904.0,39034.0,0,0,0,40000
1558833,37435.0,40347.0,42039.0,40179.0,0,0,0,40000
1558843,37561.0,39483.0,42137.0,40819.0,0,0,0,40000
1558853,35626.0,40618.0,43740.0,40016.0,0,0,0,40000
1558863,34522.0,38824.0,44560.0,42094.0,0,0,0,40000
1558873,33101.0,38809.0,45831.0,42259.0,0,0,0,40000
1558883,31333.0,38047.0,47289.0,43331.0,0,0,0,40000
1558893,31454.0,38608.0,47118.0,42820.0,0,0,0,40000
1558903,30381.0,39427.0,48153.0,42039.0,0,0,0,40000
