timestamp,stabilizer.roll,stabilizer.pitch,stateEstimateZ.rateRoll,stateEstimateZ.ratePitch,controller.pitchRate,controller.rollRate,roll,pitch,yawdot,thrust
1378398,-43.23307418823242,63.40071105957031,-1.0,7.0,-382.6867370605469,260.9548034667969,0,0,0,40000
1378408,-43.249141693115234,63.38551330566406,-15.0,-35.0,-384.4974060058594,262.34857177734375,0,0,0,40000
1378418,-43.267398834228516,63.36488723754883,0.0,-29.0,-386.27484130859375,263.755859375,0,0,0,40000
1378428,-43.25696563720703,63.28727722167969,27.0,-135.0,-387.7088928222656,264.9913330078125,0,0,0,40000
1378438,-43.162193298339844,63.18424987792969,-15.0,-402.0,-388.98760986328125,265.7187194824219,0,0,0,40000
1378448,-42.74872970581055,62.87925338745117,-33.0,-652.0,-389.0480651855469,264.526123046875,0,0,0,40000
1378458,-42.28886795043945,62.58586120605469,23.0,-1101.0,-389.16900634765625,263.04156494140625,0,0,0,40000
1378468,-41.12582778930664,61.859039306640625,5.0,-1661.0,-386.6734313964844,257.3125305175781,0,0,0,40000
1378478,-40.06626892089844,61.178367614746094,49.0,-2280.0,-384.43316650390625,252.17027282714844,0,0,0,40000
1378488,-37.98136520385742,59.78074264526367,59.0,-3035.0,-377.85888671875,240.82676696777344,0,0,0,40000
1378498,-36.30878829956055,58.55455017089844,80.0,-3869.0,-372.27349853515625,231.9009552001953,0,0,0,40000
1378508,-33.45371627807617,56.192115783691406,103.0,-4770.0,-359.8147277832031,215.80921936035156,0,0,0,40000
1378518,-31.39609718322754,54.224124908447266,157.0,-5724.0,-349.6576232910156,204.43028259277344,0,0,0,40000
1378528,-28.237079620361328,50.65501403808594,321.0,-6605.0,-329.8073425292969,186.3614959716797,0,0,0,40000
1378538,-26.174760818481445,47.86361312866211,459.0,-7488.0,-314.52874755859375,174.79757690429688,0,0,0,40000
1378548,-23.212671279907227,43.152584075927734,566.0,-8097.0,-287.615234375,157.75607299804688,0,0,0,40000
1378558,-21.37933349609375,39.743247985839844,739.0,-8473.0,-268.3927917480469,147.4191131591797,0,0,0,40000
1378568,-18.863367080688477,34.404239654541016,1013.0,-8629.0,-237.4554443359375,132.91879272460938,0,0,0,40000
1378578,-17.323123931884766,30.78526496887207,1308.0,-8541.0,-216.7085723876953,124.21548461914062,0,0,0,40000
1378588,-15.159219741821289,25.468238830566406,1561.0,-8236.0,-185.63375854492188,111.71238708496094,0,0,0,40000
1378598,-13.777811050415039,22.070444107055664,1822.0,-7688.0,-165.94967651367188,103.85368347167969,0,0,0,40000
1378608,-11.749382972717285,17.3656063079834,2167.0,-6933.0,-138.29656982421875,92.0598373413086,0,0,0,40000
1378618,-10.390276908874512,14.579805374145508,2490.0,-6003.0,-122.05208587646484,84.23331451416016,0,0,0,40000
1378628,-8.337357521057129,11.058237075805664,2767.0,-4881.0,-101.29434967041016,72.19090270996094,0,0,0,40000
1378638,-6.954564094543457,9.24041748046875,2917.0,-3622.0,-90.68580627441406,64.119384765625,0,0,0,40000
1378648,-4.824999809265137,7.366772651672363,2996.0,-2282.0,-79.68464660644531,51.51221466064453,0,0,0,40000
1378658,-3.383666515350342,6.692563533782959,3073.0,-1035.0,-75.84759521484375,42.983001708984375,0,0,0,40000
1378668,-1.2181562185287476,6.464626312255859,3121.0,63.0,-74.67431640625,30.052589416503906,0,0,0,40000
1378678,0.21601557731628418,6.72829008102417,3093.0,872.0,-76.45455932617188,21.45830535888672,0,0,0,40000
1378688,2.322230577468872,7.5697808265686035,2984.0,1444.0,-81.71940612792969,8.77641487121582,0,0,0,40000
1378698,3.6824216842651367,8.335289001464844,2829.0,1826.0,-86.55313110351562,0.5209903717041016,0,0,0,40000
1378708,5.633035182952881,9.663151741027832,2670.0,2068.0,-94.79373168945312,-11.32866096496582,0,0,0,40000
1378718,6.867036819458008,10.609203338623047,2457.0,2145.0,-100.77694702148438,-18.92399024963379,0,0,0,40000
1378728,8.555499076843262,11.993708610534668,2248.0,2071.0,-109.4273681640625,-29.291587829589844,0,0,0,40000
1378738,9.588746070861816,12.850776672363281,2008.0,1874.0,-114.94515991210938,-35.76648712158203,0,0,0,40000
1378748,10.952728271484375,13.946098327636719,1741.0,1576.0,-121.92298889160156,-44.263153076171875,0,0,0,40000
1378758,11.735270500183105,14.499152183532715,1415.0,1144.0,-125.669921875,-49.301265716552734,0,0,0,40000
1378768,12.705194473266602,15.014876365661621,1140.0,641.0,-129.20960998535156,-55.49113464355469,0,0,0,40000
1378778,13.20561408996582,15.109747886657715,865.0,46.0,-130.23130798339844,-58.88395690917969,0,0,0,40000
1378788,13.710122108459473,14.828614234924316,595.0,-629.0,-128.99412536621094,-62.316959381103516,0,0,0,40000
1378798,13.88719654083252,14.340846061706543,317.0,-1359.0,-126.50395202636719,-63.79404067993164,0,0,0,40000
1378808,13.921128273010254,13.108089447021484,46.0,-2130.0,-119.51705169677734,-64.41558837890625,0,0,0,40000
1378818,13.794746398925781,11.964775085449219,-264.0,-2808.0,-113.03016662597656,-64.07283020019531,0,0,0,40000
1378828,13.40802001953125,9.869905471801758,-512.0,-3364.0,-100.78326416015625,-62.15990447998047,0,0,0,40000
1378838,13.035866737365723,8.268758773803711,-786.0,-3737.0,-91.44386291503906,-60.322689056396484,0,0,0,40000
1378848,12.319355964660645,5.7300004959106445,-1010.0,-3843.0,-76.41385650634766,-56.402244567871094,0,0,0,40000
1378858,11.749135971069336,4.043190002441406,-1247.0,-3749.0,-66.43446350097656,-53.34033203125,0,0,0,40000
1378868,10.781844139099121,1.6498316526412964,-1441.0,-3441.0,-52.1518669128418,-47.872032165527344,0,0,0,40000
1378878,10.073938369750977,0.24557313323020935,-1600.0,-2931.0,-43.750267028808594,-43.93540573120117,0,0,0,40000
1378888,8.93539810180664,-1.5188868045806885,-1712.0,-2366.0,-33.13787841796875,-37.38612747192383,0,0,0,40000
1378898,8.134801864624023,-2.4287517070770264,-1790.0,-1751.0,-27.616413116455078,-32.83625030517578,0,0,0,40000
1378908,6.891215801239014,-3.3898167610168457,-1821.0,-1144.0,-21.758544921875,-25.596452713012695,0,0,0,40000
1378918,6.059667587280273,-3.746326208114624,-1801.0,-577.0,-19.511064529418945,-20.79892349243164,0,0,0,40000
1378928,4.81807804107666,-3.9483158588409424,-1769.0,-102.0,-18.182109832763672,-13.50878620147705,0,0,0,40000
1378938,4.019067764282227,-3.896723985671997,-1686.0,287.0,-18.373924255371094,-8.84483528137207,0,0,0,40000
1378948,2.875532627105713,-3.6091067790985107,-1615.0,510.0,-19.987464904785156,-2.0834598541259766,0,0,0,40000
1378958,2.170912981033325,-3.3467085361480713,-1494.0,589.0,-21.458261489868164,2.0707406997680664,0,0,0,40000
1378968,1.1991426944732666,-2.9447667598724365,-1351.0,565.0,-23.776838302612305,7.854093074798584,0,0,0,40000
