timestamp,motor.m1,motor.m2,motor.m3,motor.m4,roll,pitch,yawdot,thrust
1378399,7308.0,39926.0,65535.0,39926.0,0,0,0,40000
1378409,7447.0,39787.0,65535.0,39787.0,0,0,0,40000
1378419,7664.0,39570.0,65535.0,39570.0,0,0,0,40000
1378429,7782.0,39452.0,65535.0,39452.0,0,0,0,40000
1378439,7792.0,39442.0,65535.0,39442.0,0,0,0,40000
1378449,7806.0,39428.0,65535.0,39428.0,0,0,0,40000
1378459,7757.0,39477.0,65535.0,39477.0,0,0,0,40000
1378469,7528.0,39706.0,65535.0,39706.0,0,0,0,40000
1378479,7397.0,39837.0,65535.0,39837.0,0,0,0,40000
1378489,6995.0,40239.0,65535.0,40239.0,0,0,0,40000
1378499,6683.0,40551.0,65535.0,40551.0,0,0,0,40000
1378509,11423.0,35811.0,65535.0,46121.0,0,0,0,40000
1378519,23010.0,24224.0,53856.0,58910.0,0,0,0,40000
1378529,27190.0,20044.0,48480.0,64286.0,0,0,0,40000
1378539,36861.0,10373.0,36861.0,65535.0,0,0,0,40000
1378549,35948.0,11286.0,35948.0,65535.0,0,0,0,40000
1378559,36630.0,13368.0,33866.0,65535.0,0,0,0,40000
1378569,34593.0,12641.0,34593.0,65535.0,0,0,0,40000
1378579,41252.0,19966.0,27268.0,65535.0,0,0,0,40000
1378589,42563.0,22553.0,24681.0,65535.0,0,0,0,40000
1378599,49369.0,28907.0,18327.0,63397.0,0,0,0,40000
1378609,47470.0,26680.0,20554.0,65296.0,0,0,0,40000
1378619,50912.0,29210.0,18024.0,61854.0,0,0,0,40000
1378629,57506.0,38166.0,12660.0,51668.0,0,0,0,40000
1378639,47574.0,48158.0,24134.0,40134.0,0,0,0,40000
1378649,43240.0,58360.0,29850.0,28550.0,0,0,0,40000
1378659,33826.0,64734.0,40762.0,20678.0,0,0,0,40000
1378669,35362.0,65535.0,39646.0,11872.0,0,0,0,40000
1378679,34390.0,65535.0,40702.0,12844.0,0,0,0,40000
1378689,37507.0,65535.0,37507.0,9727.0,0,0,0,40000
1378699,34990.0,65535.0,40288.0,12244.0,0,0,0,40000
1378709,37331.0,65535.0,37827.0,9903.0,0,0,0,40000
1378719,33529.0,65535.0,40621.0,13705.0,0,0,0,40000
1378729,36543.0,65535.0,37819.0,10691.0,0,0,0,40000
1378739,33953.0,65535.0,40089.0,13281.0,0,0,0,40000
1378749,36031.0,65535.0,38637.0,11203.0,0,0,0,40000
1378759,31904.0,65535.0,41836.0,15330.0,0,0,0,40000
1378769,32125.0,65535.0,43419.0,15109.0,0,0,0,40000
1378779,29443.0,65535.0,45789.0,17791.0,0,0,0,40000
1378789,32202.0,63660.0,44854.0,19284.0,0,0,0,40000
1378799,36812.0,55782.0,40728.0,26678.0,0,0,0,40000
1378809,44613.0,46281.0,34483.0,34623.0,0,0,0,40000
1378819,44129.0,39629.0,35525.0,40717.0,0,0,0,40000
1378829,50203.0,28469.0,30861.0,50467.0,0,0,0,40000
1378839,48119.0,28553.0,32559.0,50769.0,0,0,0,40000
1378849,51032.0,20346.0,30396.0,58226.0,0,0,0,40000
1378859,46144.0,24036.0,34198.0,55622.0,0,0,0,40000
1378869,43777.0,19705.0,37045.0,59473.0,0,0,0,40000
1378879,36829.0,25035.0,42859.0,55277.0,0,0,0,40000
1378889,32785.0,24183.0,46563.0,56469.0,0,0,0,40000
1378899,26569.0,30409.0,51929.0,51093.0,0,0,0,40000
1378909,21247.0,30653.0,56407.0,51693.0,0,0,0,40000
1378919,19788.0,35200.0,57856.0,47156.0,0,0,0,40000
1378929,14276.0,36602.0,63154.0,45968.0,0,0,0,40000
1378939,12767.0,40909.0,64413.0,41911.0,0,0,0,40000
1378949,10247.0,38925.0,65535.0,43289.0,0,0,0,40000
1378959,12330.0,39240.0,65272.0,43158.0,0,0,0,40000
1378969,12037.0,38465.0,65535.0,42869.0,0,0,0,40000
1378979,16300.0,38746.0,61812.0,43142.0,0,0,0,40000
1378989,18391.0,35545.0,61537.0,44527.0,0,0,0,40000
1378999,21905.0,34879.0,57369.0,45847.0,0,0,0,40000
1379009,25588.0,31740.0,54090.0,48582.0,0,0,0,40000
1379019,28906.0,32806.0,50174.0,48114.0,0,0,0,40000
1379029,31838.0,32032.0,48168.0,47962.0,0,0,0,40000
1379039,32978.0,34022.0,46832.0,46168.0,0,0,0,40000
1379049,36567.0,32089.0,43447.0,47897.0,0,0,0,40000
1379059,36071.0,35779.0,43407.0,44743.0,0,0,0,40000
1379069,38987.0,37415.0,40685.0,42913.0,0,0,0,40000
1379079,37564.0,38304.0,42944.0,41188.0,0,0,0,40000
1379089,38283.0,40273.0,42239.0,39205.0,0,0,0,40000
1379099,35620.0,42730.0,45608.0,36042.0,0,0,0,40000
1379109,37675.0,46041.0,43285.0,32999.0,0,0,0,40000
1379119,36831.0,46371.0,44997.0,31801.0,0,0,0,40000
1379129,36348.0,49224.0,45510.0,28918.0,0,0,0,40000
1379139,36092.0,48380.0,45854.0,29674.0,0,0,0,40000
1379149,37230.0,49302.0,44520.0,28948.0,0,0,0,40000
1379159,35975.0,49195.0,45465.0,29365.0,0,0,0,40000
1379169,38660.0,47636.0,42768.0,30936.0,0,0,0,40000
1379179,38377.0,46085.0,42927.0,32611.0,0,0,0,40000
1379189,39576.0,45260.0,41554.0,33610.0,0,0,0,40000
1379199,40131.0,43763.0,40267.0,35839.0,0,0,0,40000
1379209,40383.0,43401.0,40203.0,36013.0,0,0,0,40000
1379219,39084.0,42258.0,41160.0,37498.0,0,0,0,40000
1379229,39918.0,39738.0,39844.0,40500.0,0,0,0,40000
1379239,38913.0,40021.0,41223.0,39843.0,0,0,0,40000
1379249,36355.0,40231.0,42753.0,40661.0,0,0,0,40000
1379259,33854.0,39916.0,46520.0,39710.0,0,0,0,40000
1379269,33343.0,40791.0,45411.0,40455.0,0,0,0,40000
1379279,31942.0,40618.0,47378.0,40062.0,0,0,0,40000
1379289,29881.0,41099.0,48663.0,40357.0,0,0,0,40000
1379299,29975.0,39769.0,48731.0,41525.0,0,0,0,40000
1379309,29443.0,39637.0,49043.0,41877.0,0,0,0,40000
1379319,29354.0,39260.0,49496.0,41890.0,0,0,0,40000
1379329,28872.0,38304.0,49572.0,43252.0,0,0,0,40000
1379339,30396.0,38652.0,48290.0,42662.0,0,0,0,40000
1379349,28127.0,36863.0,50733.0,44277.0,0,0,0,40000
1379359,28589.0,36003.0,50149.0,45259.0,0,0,0,40000
1379369,29457.0,36789.0,48899.0,44855.0,0,0,0,40000
