timestamp,motor.m1,motor.m2,motor.m3,motor.m4,roll,pitch,yawdot,thrust
1311689,7431.0,39803.0,65535.0,39803.0,0,0,0,40000
1311699,7544.0,39690.0,65535.0,39690.0,0,0,0,40000
1311709,7590.0,39644.0,65535.0,39644.0,0,0,0,40000
1311719,7796.0,39438.0,65535.0,39438.0,0,0,0,40000
1311729,7889.0,39345.0,65535.0,39345.0,0,0,0,40000
1311739,7873.0,39361.0,65535.0,39361.0,0,0,0,40000
1311749,7619.0,39615.0,65535.0,39615.0,0,0,0,40000
1311759,7483.0,39751.0,65535.0,39751.0,0,0,0,40000
1311769,7070.0,40164.0,65535.0,40164.0,0,0,0,40000
1311779,6887.0,40347.0,65535.0,40347.0,0,0,0,40000
1311789,11522.0,35712.0,65535.0,46028.0,0,0,0,40000
1311799,16597.0,30637.0,60769.0,51997.0,0,0,0,40000
1311809,28547.0,18687.0,47605.0,65161.0,0,0,0,40000
1311819,30385.0,16849.0,44039.0,65535.0,0,0,0,40000
1311829,36239.0,10995.0,36239.0,65535.0,0,0,0,40000
1311839,35244.0,11990.0,35244.0,65535.0,0,0,0,40000
1311849,38912.0,16766.0,30468.0,65535.0,0,0,0,40000
1311859,37524.0,16032.0,31202.0,65535.0,0,0,0,40000
1311869,44418.0,23626.0,23608.0,65535.0,0,0,0,40000
1311879,47627.0,26971.0,20263.0,65139.0,0,0,0,40000
1311889,52018.0,31916.0,15318.0,60748.0,0,0,0,40000
1311899,52445.0,30805.0,16429.0,60321.0,0,0,0,40000
1311909,57432.0,34242.0,12992.0,55334.0,0,0,0,40000
1311919,48053.0,44367.0,23315.0,44265.0,0,0,0,40000
1311929,49912.0,55656.0,23162.0,31270.0,0,0,0,40000
1311939,37930.0,64584.0,35974.0,21512.0,0,0,0,40000
1311949,36249.0,65535.0,38881.0,11461.0,0,0,0,40000
1311959,34120.0,65535.0,41538.0,13114.0,0,0,0,40000
1311969,38063.0,65535.0,38307.0,9171.0,0,0,0,40000
1311979,34834.0,65535.0,40820.0,12400.0,0,0,0,40000
1311989,37848.0,65535.0,37848.0,9386.0,0,0,0,40000
1311999,35656.0,65535.0,39486.0,11578.0,0,0,0,40000
1312009,36906.0,65535.0,37850.0,10328.0,0,0,0,40000
1312019,34135.0,65535.0,41037.0,13099.0,0,0,0,40000
1312029,34888.0,65535.0,39794.0,12346.0,0,0,0,40000
1312039,31648.0,65535.0,43626.0,15586.0,0,0,0,40000
1312049,33240.0,65535.0,42302.0,13994.0,0,0,0,40000
1312059,30724.0,65535.0,45028.0,16510.0,0,0,0,40000
1312069,33389.0,62417.0,44159.0,20035.0,0,0,0,40000
1312079,36112.0,53628.0,41714.0,28546.0,0,0,0,40000
1312089,43637.0,44393.0,35387.0,36583.0,0,0,0,40000
1312099,44614.0,38464.0,35314.0,41608.0,0,0,0,40000
1312109,50419.0,28761.0,30189.0,50631.0,0,0,0,40000
1312119,45942.0,25384.0,35148.0,53526.0,0,0,0,40000
1312129,50519.0,20083.0,30689.0,58709.0,0,0,0,40000
