timestamp,stabilizer.roll,stabilizer.pitch,stateEstimateZ.rateRoll,stateEstimateZ.ratePitch,controller.pitchRate,controller.rollRate,roll,pitch,yawdot,thrust
1440402,-41.52705764770508,63.47366714477539,11.0,-19.0,-383.88897705078125,251.15545654296875,0,0,0,40000
1440412,-41.5318489074707,63.45582580566406,8.0,-13.0,-385.685791015625,252.4300994873047,0,0,0,40000
1440422,-41.540794372558594,63.414573669433594,-31.0,-104.0,-387.3414001464844,253.7300567626953,0,0,0,40000
1440432,-41.50292205810547,63.34877395629883,-26.0,-199.0,-388.84796142578125,254.74851989746094,0,0,0,40000
1440442,-41.28548049926758,63.13582992553711,-4.0,-483.0,-389.4674377441406,254.68589782714844,0,0,0,40000
1440452,-40.953277587890625,62.90190124511719,11.0,-754.0,-389.95379638671875,253.9254150390625,0,0,0,40000
1440462,-40.116764068603516,62.3441276550293,44.0,-1292.0,-388.4849853515625,250.1213836669922,0,0,0,40000
1440472,-39.26019287109375,61.783241271972656,42.0,-1870.0,-386.98016357421875,246.17042541503906,0,0,0,40000
1440482,-37.5268669128418,60.6073112487793,16.0,-2518.0,-381.75799560546875,236.91835021972656,0,0,0,40000
1440492,-36.071712493896484,59.55502700805664,80.0,-3293.0,-377.2439270019531,229.28736877441406,0,0,0,40000
1440502,-33.525848388671875,57.50861358642578,125.0,-4178.0,-366.7170104980469,215.04978942871094,0,0,0,40000
1440512,-31.62445068359375,55.77141189575195,165.0,-5057.0,-357.98822021484375,204.61306762695312,0,0,0,40000
1440522,-28.62604522705078,52.57881546020508,203.0,-6007.0,-340.4502868652344,187.51766967773438,0,0,0,40000
1440532,-26.593358993530273,50.025840759277344,326.0,-6948.0,-326.664306640625,176.1437225341797,0,0,0,40000
1440542,-23.639352798461914,45.604515075683594,466.0,-7718.0,-301.5593566894531,159.16375732421875,0,0,0,40000
1440552,-21.783899307250977,42.34006881713867,664.0,-8270.0,-283.28240966796875,148.70669555664062,0,0,0,40000
1440562,-19.216100692749023,37.09920120239258,859.0,-8572.0,-253.013916015625,133.906494140625,0,0,0,40000
1440572,-17.638212203979492,33.46522903442383,1089.0,-8646.0,-232.2576904296875,124.987060546875,0,0,0,40000
1440582,-15.437433242797852,28.016822814941406,1420.0,-8425.0,-200.47288513183594,112.27152252197266,0,0,0,40000
1440592,-14.061128616333008,24.47211265563965,1765.0,-8044.0,-179.98118591308594,104.4520263671875,0,0,0,40000
1440602,-12.042753219604492,19.447473526000977,2015.0,-7421.0,-150.47584533691406,92.72696685791016,0,0,0,40000
1440612,-10.708236694335938,16.386837005615234,2309.0,-6586.0,-132.639892578125,85.05713653564453,0,0,0,40000
1440622,-8.699687004089355,12.377023696899414,2587.0,-5552.0,-108.99836730957031,73.2911148071289,0,0,0,40000
1440632,-7.3385844230651855,10.17707347869873,2831.0,-4349.0,-96.1297836303711,65.36107635498047,0,0,0,40000
1440642,-5.243129730224609,7.7270073890686035,2959.0,-3130.0,-81.68769073486328,52.97089767456055,0,0,0,40000
1440652,-3.822267532348633,6.684055805206299,3052.0,-1773.0,-75.64228820800781,44.57745361328125,0,0,0,40000
1440662,-1.6768357753753662,5.985011577606201,3088.0,-552.0,-71.63328552246094,31.78092384338379,0,0,0,40000
1440672,-0.24537302553653717,6.014585018157959,3071.0,440.0,-71.99027252197266,23.216686248779297,0,0,0,40000
1440682,1.857513427734375,6.615251541137695,2994.0,1168.0,-75.78395080566406,10.568737030029297,0,0,0,40000
