timestamp,motor.m1,motor.m2,motor.m3,motor.m4,roll,pitch,yawdot,thrust
1440404,7391.0,39843.0,65535.0,39843.0,0,0,0,40000
1440414,7504.0,39730.0,65535.0,39730.0,0,0,0,40000
1440424,7595.0,39639.0,65535.0,39639.0,0,0,0,40000
1440434,7737.0,39497.0,65535.0,39497.0,0,0,0,40000
1440444,7969.0,39265.0,65535.0,39265.0,0,0,0,40000
1440454,7854.0,39380.0,65535.0,39380.0,0,0,0,40000
1440464,7658.0,39576.0,65535.0,39576.0,0,0,0,40000
1440474,7496.0,39738.0,65535.0,39738.0,0,0,0,40000
1440484,7113.0,40121.0,65535.0,40121.0,0,0,0,40000
1440494,6902.0,40332.0,65535.0,40332.0,0,0,0,40000
1440504,6417.0,40817.0,65535.0,40817.0,0,0,0,40000
1440514,16585.0,30649.0,61109.0,51657.0,0,0,0,40000
1440524,21934.0,25300.0,54134.0,58632.0,0,0,0,40000
1440534,35105.0,12129.0,39441.0,65535.0,0,0,0,40000
1440544,34097.0,13137.0,39237.0,65535.0,0,0,0,40000
1440554,36629.0,11979.0,35255.0,65535.0,0,0,0,40000
1440564,35075.0,12159.0,35075.0,65535.0,0,0,0,40000
1440574,39556.0,18784.0,28450.0,65535.0,0,0,0,40000
1440584,38400.0,18038.0,29196.0,65535.0,0,0,0,40000
1440594,47640.0,26980.0,20254.0,65126.0,0,0,0,40000
1440604,48340.0,27888.0,19346.0,64426.0,0,0,0,40000
1440614,52701.0,31241.0,15993.0,60065.0,0,0,0,40000
1440624,51188.0,33864.0,18784.0,56164.0,0,0,0,40000
1440634,55382.0,42550.0,16752.0,45316.0,0,0,0,40000
1440644,42745.0,53117.0,29667.0,34471.0,0,0,0,40000
1440654,42541.0,63295.0,31599.0,22565.0,0,0,0,40000
1440664,32350.0,65535.0,42684.0,14884.0,0,0,0,40000
1440674,36539.0,65535.0,39465.0,10695.0,0,0,0,40000
1440684,34625.0,65535.0,41059.0,12609.0,0,0,0,40000
1440694,37903.0,65535.0,37903.0,9331.0,0,0,0,40000
1440704,35427.0,65535.0,39979.0,11807.0,0,0,0,40000
1440714,37351.0,65535.0,37813.0,9883.0,0,0,0,40000
1440724,34139.0,65535.0,40529.0,13095.0,0,0,0,40000
1440734,34578.0,65535.0,39644.0,12656.0,0,0,0,40000
1440744,32981.0,65535.0,41317.0,14253.0,0,0,0,40000
1440754,33680.0,65535.0,40566.0,13554.0,0,0,0,40000
1440764,30756.0,65535.0,44072.0,16478.0,0,0,0,40000
1440774,30489.0,65535.0,45487.0,16745.0,0,0,0,40000
1440784,31938.0,65535.0,44892.0,15296.0,0,0,0,40000
1440794,33644.0,57924.0,44056.0,24376.0,0,0,0,40000
1440804,33657.0,49441.0,45207.0,31695.0,0,0,0,40000
1440814,42227.0,41441.0,37795.0,38537.0,0,0,0,40000
1440824,45541.0,36169.0,34763.0,43527.0,0,0,0,40000
1440834,50642.0,25996.0,30372.0,52990.0,0,0,0,40000
1440844,47664.0,25768.0,33474.0,53094.0,0,0,0,40000
1440854,47962.0,18288.0,33480.0,60270.0,0,0,0,40000
1440864,43699.0,25395.0,36733.0,54173.0,0,0,0,40000
1440874,40965.0,18587.0,39265.0,61183.0,0,0,0,40000
1440884,33147.0,25927.0,46159.0,54767.0,0,0,0,40000
1440894,29918.0,23398.0,49576.0,57108.0,0,0,0,40000
1440904,25111.0,30773.0,52547.0,51569.0,0,0,0,40000
1440914,21039.0,30601.0,57315.0,51045.0,0,0,0,40000
1440924,16702.0,35416.0,60454.0,47428.0,0,0,0,40000
1440934,12511.0,34723.0,65259.0,47507.0,0,0,0,40000
1440944,13662.0,40378.0,63572.0,42388.0,0,0,0,40000
1440954,12269.0,39603.0,65535.0,42375.0,0,0,0,40000
1440964,13700.0,40830.0,63814.0,41656.0,0,0,0,40000
1440974,13723.0,37573.0,65151.0,43553.0,0,0,0,40000
1440984,17291.0,37691.0,61647.0,43371.0,0,0,0,40000
1440994,18597.0,35965.0,60859.0,44579.0,0,0,0,40000
1441004,24445.0,35941.0,54651.0,44963.0,0,0,0,40000
1441014,27115.0,32539.0,53085.0,47261.0,0,0,0,40000
1441024,28296.0,33512.0,50854.0,47338.0,0,0,0,40000
1441034,30640.0,32204.0,49388.0,47768.0,0,0,0,40000
1441044,34459.0,33981.0,44435.0,47125.0,0,0,0,40000
1441054,38125.0,34559.0,42563.0,44753.0,0,0,0,40000
1441064,36445.0,38259.0,42733.0,42563.0,0,0,0,40000
1441074,39660.0,36660.0,41070.0,42610.0,0,0,0,40000
1441084,36185.0,40079.0,43711.0,40025.0,0,0,0,40000
1441094,40330.0,40414.0,41146.0,38110.0,0,0,0,40000
1441104,38055.0,43643.0,43063.0,35239.0,0,0,0,40000
1441114,39667.0,45235.0,42157.0,32941.0,0,0,0,40000
1441124,37637.0,45771.0,44039.0,32553.0,0,0,0,40000
1441134,38762.0,47314.0,43394.0,30530.0,0,0,0,40000
1441144,37061.0,47723.0,44643.0,30573.0,0,0,0,40000
1441154,39247.0,48889.0,42599.0,29265.0,0,0,0,40000
1441164,38242.0,47242.0,42846.0,31670.0,0,0,0,40000
1441174,39505.0,47785.0,42055.0,30655.0,0,0,0,40000
1441184,37837.0,45991.0,42533.0,33639.0,0,0,0,40000
1441194,38865.0,45565.0,42321.0,33249.0,0,0,0,40000
1441204,38182.0,45016.0,41952.0,34850.0,0,0,0,40000
1441214,40109.0,43615.0,40969.0,35307.0,0,0,0,40000
1441224,37657.0,42643.0,42429.0,37271.0,0,0,0,40000
1441234,39248.0,41520.0,40670.0,38562.0,0,0,0,40000
1441244,38604.0,40154.0,41018.0,40224.0,0,0,0,40000
1441254,37948.0,38534.0,42174.0,41344.0,0,0,0,40000
1441264,36859.0,38455.0,41977.0,42709.0,0,0,0,40000
1441274,36404.0,38350.0,43244.0,42002.0,0,0,0,40000
1441284,34957.0,39355.0,43537.0,42151.0,0,0,0,40000
1441294,33128.0,38608.0,46220.0,42044.0,0,0,0,40000
1441304,31989.0,39591.0,46447.0,41973.0,0,0,0,40000
1441314,30598.0,38046.0,48220.0,43136.0,0,0,0,40000
1441324,31163.0,38725.0,47263.0,42849.0,0,0,0,40000
1441334,29307.0,39305.0,49373.0,42015.0,0,0,0,40000
1441344,30462.0,38290.0,48198.0,43050.0,0,0,0,40000
1441354,28550.0,37398.0,50122.0,43930.0,0,0,0,40000
1441364,30068.0,37938.0,48302.0,43692.0,0,0,0,40000
1441374,28869.0,37383.0,49917.0,43831.0,0,0,0,40000
1441384,30153.0,38093.0,48231.0,43523.0,0,0,0,40000
1441394,31328.0,36876.0,48010.0,43786.0,0,0,0,40000
1441404,30305.0,38977.0,47535.0,43183.0,0,0,0,40000
1441414,31867.0,37453.0,48249.0,42431.0,0,0,0,40000
1441424,31545.0,38769.0,46963.0,42723.0,0,0,0,40000
1441434,31363.0,38255.0,48893.0,41489.0,0,0,0,40000
1441444,31943.0,40371.0,46405.0,41281.0,0,0,0,40000
1441454,33048.0,38830.0,47780.0,40342.0,0,0,0,40000
1441464,32975.0,40711.0,46325.0,39989.0,0,0,0,40000
1441474,34044.0,39812.0,46448.0,39696.0,0,0,0,40000
1441484,35657.0,40737.0,44469.0,39137.0,0,0,0,40000
1441494,34305.0,39845.0,45949.0,39901.0,0,0,0,40000
1441504,35434.0,40658.0,44562.0,39346.0,0,0,0,40000
1441514,36139.0,40751.0,43803.0,39307.0,0,0,0,40000
1441524,34647.0,42157.0,45775.0,37421.0,0,0,0,40000
1441534,36311.0,41745.0,43891.0,38053.0,0,0,0,40000
1441544,36979.0,42077.0,42781.0,38163.0,0,0,0,40000
1441554,35845.0,40385.0,44281.0,39489.0,0,0,0,40000
1441564,35597.0,41313.0,44899.0,38191.0,0,0,0,40000
1441574,35633.0,41401.0,44533.0,38433.0,0,0,0,40000
1441584,36052.0,42540.0,43806.0,37602.0,0,0,0,40000
1441594,34984.0,42686.0,45226.0,37104.0,0,0,0,40000
1441604,34118.0,40844.0,45754.0,39284.0,0,0,0,40000
1441614,34127.0,41509.0,45757.0,38607.0,0,0,0,40000
1441624,34615.0,41501.0,45021.0,38863.0,0,0,0,40000
1441634,35229.0,41331.0,44999.0,38441.0,0,0,0,40000
1441644,33674.0,42360.0,45338.0,38628.0,0,0,0,40000
1441654,34002.0,39512.0,46480.0,40006.0,0,0,0,40000
1441664,33608.0,40060.0,45438.0,40894.0,0,0,0,40000
1441674,34927.0,39601.0,44933.0,40539.0,0,0,0,40000
1441684,33804.0,40212.0,45226.0,40758.0,0,0,0,40000
1441694,34973.0,39147.0,44891.0,40989.0,0,0,0,40000
1441704,34659.0,38355.0,45067.0,41919.0,0,0,0,40000
1441714,34478.0,39658.0,44790.0,41074.0,0,0,0,40000
1441724,33655.0,38147.0,45871.0,42327.0,0,0,0,40000
1441734,33440.0,38972.0,45536.0,42052.0,0,0,0,40000
1441744,34113.0,37857.0,45691.0,42339.0,0,0,0,40000
1441754,33070.0,39918.0,45920.0,41092.0,0,0,0,40000
1441764,32285.0,40125.0,46879.0,40711.0,0,0,0,40000
1441774,33538.0,40072.0,46342.0,40048.0,0,0,0,40000
1441784,32701.0,40643.0,46871.0,39785.0,0,0,0,40000
1441794,32293.0,40357.0,47621.0,39729.0,0,0,0,40000
1441804,33020.0,40722.0,46210.0,40048.0,0,0,0,40000
1441814,33585.0,39483.0,46763.0,40169.0,0,0,0,40000
1441824,32285.0,41235.0,46943.0,39537.0,0,0,0,40000
1441834,33552.0,39096.0,46448.0,40904.0,0,0,0,40000
1441844,33183.0,40577.0,46097.0,40143.0,0,0,0,40000
1441854,33747.0,40825.0,46371.0,39057.0,0,0,0,40000
1441864,34132.0,40532.0,45122.0,40214.0,0,0,0,40000
1441874,35112.0,40206.0,45274.0,39408.0,0,0,0,40000
1441884,33964.0,41780.0,45430.0,38826.0,0,0,0,40000
1441894,35089.0,40471.0,44961.0,39479.0,0,0,0,40000
1441904,35101.0,41145.0,44437.0,39317.0,0,0,0,40000
1441914,35309.0,39391.0,45199.0,40101.0,0,0,0,40000
1441924,35430.0,40886.0,44114.0,39570.0,0,0,0,40000
1441934,36216.0,39556.0,43868.0,40360.0,0,0,0,40000
1441944,35960.0,40814.0,43884.0,39342.0,0,0,0,40000
1441954,36423.0,40143.0,43729.0,39705.0,0,0,0,40000
1441964,34904.0,41070.0,44342.0,39684.0,0,0,0,40000
1441974,35396.0,40804.0,44272.0,39528.0,0,0,0,40000
1441984,34955.0,40819.0,44917.0,39309.0,0,0,0,40000
1441994,34635.0,41763.0,45331.0,38271.0,0,0,0,40000
1442004,33448.0,42344.0,45964.0,38244.0,0,0,0,40000
1442014,33202.0,41294.0,46774.0,38730.0,0,0,0,40000
1442024,32953.0,41705.0,46897.0,38445.0,0,0,0,40000
1442034,32501.0,41317.0,47381.0,38801.0,0,0,0,40000
1442044,32466.0,41518.0,46528.0,39488.0,0,0,0,40000
1442054,34791.0,39799.0,45361.0,40049.0,0,0,0,40000
1442064,32735.0,39685.0,46481.0,41099.0,0,0,0,40000
1442074,32559.0,40487.0,47379.0,39575.0,0,0,0,40000
1442084,32908.0,38822.0,46056.0,42214.0,0,0,0,40000
1442094,34668.0,38368.0,45288.0,41676.0,0,0,0,40000
1442104,33881.0,39799.0,45491.0,40829.0,0,0,0,40000
1442114,33770.0,39136.0,46184.0,40910.0,0,0,0,40000
1442124,34406.0,39152.0,44462.0,41980.0,0,0,0,40000
1442134,34305.0,38013.0,45609.0,42073.0,0,0,0,40000
1442144,33879.0,38915.0,45621.0,41585.0,0,0,0,40000
1442154,33686.0,38902.0,45802.0,41610.0,0,0,0,40000
1442164,33636.0,40740.0,45876.0,39748.0,0,0,0,40000
1442174,33632.0,39630.0,46134.0,40604.0,0,0,0,40000
1442184,33550.0,40276.0,46052.0,40122.0,0,0,0,40000
1442194,34317.0,39895.0,45565.0,40223.0,0,0,0,40000
1442204,34284.0,40108.0,45488.0,40120.0,0,0,0,40000
1442214,32596.0,41160.0,46842.0,39402.0,0,0,0,40000
1442224,33415.0,40159.0,46791.0,39635.0,0,0,0,40000
1442234,33419.0,41063.0,45815.0,39703.0,0,0,0,40000
1442244,34492.0,40034.0,45632.0,39842.0,0,0,0,40000
1442254,34348.0,38778.0,45206.0,41668.0,0,0,0,40000
1442264,34303.0,39461.0,45655.0,40581.0,0,0,0,40000
1442274,34823.0,39463.0,44465.0,41249.0,0,0,0,40000
1442284,34598.0,39520.0,45488.0,40394.0,0,0,0,40000
1442294,34995.0,39265.0,44587.0,41153.0,0,0,0,40000
1442304,35703.0,39841.0,44033.0,40423.0,0,0,0,40000
1442314,34733.0,40539.0,44927.0,39801.0,0,0,0,40000
1442324,34207.0,40063.0,45723.0,40007.0,0,0,0,40000
1442334,34563.0,39205.0,45169.0,41063.0,0,0,0,40000
1442344,34353.0,39005.0,45235.0,41407.0,0,0,0,40000
1442354,33812.0,39842.0,45780.0,40566.0,0,0,0,40000
1442364,33672.0,39280.0,46432.0,40616.0,0,0,0,40000
1442374,32828.0,40574.0,46696.0,39902.0,0,0,0,40000
1442384,34040.0,40270.0,45854.0,39836.0,0,0,0,40000
1442394,33658.0,39414.0,46204.0,40724.0,0,0,0,40000
1442404,34102.0,39542.0,45836.0,40520.0,0,0,0,40000
1442414,34122.0,39422.0,44748.0,41708.0,0,0,0,40000
1442424,34774.0,38608.0,45238.0,41380.0,0,0,0,40000
1442434,34889.0,38521.0,44897.0,41693.0,0,0,0,40000
1442444,35190.0,38172.0,44576.0,42062.0,0,0,0,40000
1442454,35474.0,37990.0,43866.0,42670.0,0,0,0,40000
1442464,35547.0,37877.0,44435.0,42141.0,0,0,0,40000
1442474,35298.0,38042.0,44648.0,42012.0,0,0,0,40000
1442484,35217.0,39217.0,44317.0,41249.0,0,0,0,40000
1442494,35343.0,38267.0,44595.0,41795.0,0,0,0,40000
1442504,34359.0,38835.0,45279.0,41527.0,0,0,0,40000
1442514,33226.0,39678.0,46782.0,40314.0,0,0,0,40000
1442524,33391.0,40289.0,45899.0,40421.0,0,0,0,40000
1442534,33742.0,40576.0,46000.0,39682.0,0,0,0,40000
1442544,33959.0,40599.0,46185.0,39257.0,0,0,0,40000
1442554,32915.0,40467.0,46821.0,39797.0,0,0,0,40000
1442564,33547.0,41145.0,45843.0,39465.0,0,0,0,40000
1442574,34574.0,39192.0,45718.0,40516.0,0,0,0,40000
1442584,33763.0,39951.0,45763.0,40523.0,0,0,0,40000
1442594,34101.0,40065.0,45969.0,39865.0,0,0,0,40000
1442604,33351.0,40025.0,45809.0,40815.0,0,0,0,40000
1442614,35309.0,38357.0,44719.0,41615.0,0,0,0,40000
1442624,35907.0,38239.0,43677.0,42177.0,0,0,0,40000
1442634,35403.0,39023.0,44537.0,41037.0,0,0,0,40000
1442644,35412.0,38466.0,43802.0,42320.0,0,0,0,40000
1442654,35406.0,38830.0,44602.0,41162.0,0,0,0,40000
1442664,35754.0,38500.0,44120.0,41626.0,0,0,0,40000
1442674,34673.0,39513.0,45121.0,40693.0,0,0,0,40000
1442684,34547.0,40553.0,45419.0,39481.0,0,0,0,40000
1442694,35216.0,40682.0,44378.0,39724.0,0,0,0,40000
1442704,34150.0,40792.0,46126.0,38932.0,0,0,0,40000
1442714,33366.0,40634.0,45994.0,40006.0,0,0,0,40000
1442724,33637.0,41085.0,46313.0,38965.0,0,0,0,40000
1442734,34802.0,40716.0,44522.0,39960.0,0,0,0,40000
1442744,35655.0,40367.0,44699.0,39279.0,0,0,0,40000
1442754,34654.0,40704.0,44544.0,40098.0,0,0,0,40000
1442764,33618.0,40690.0,45926.0,39766.0,0,0,0,40000
1442774,35068.0,40516.0,45128.0,39288.0,0,0,0,40000
1442784,35365.0,40539.0,44715.0,39381.0,0,0,0,40000
1442794,35757.0,40807.0,44313.0,39123.0,0,0,0,40000
1442804,34604.0,40330.0,44824.0,40242.0,0,0,0,40000
1442814,34808.0,40428.0,45006.0,39758.0,0,0,0,40000
1442824,36660.0,39722.0,43336.0,40282.0,0,0,0,40000
1442834,36048.0,40134.0,43318.0,40500.0,0,0,0,40000
1442844,35934.0,41602.0,43420.0,39044.0,0,0,0,40000
1442854,35000.0,40902.0,44414.0,39684.0,0,0,0,40000
