timestamp,stabilizer.roll,stabilizer.pitch,stateEstimateZ.rateRoll,stateEstimateZ.ratePitch,controller.pitchRate,controller.rollRate,roll,pitch,yawdot,thrust
1130534,-36.25299835205078,68.08686828613281,-63.0,21.0,-411.7890930175781,219.25230407714844,0,0,0,40000
1130544,-36.45851516723633,68.07332611083984,11.0,36.0,-414.15863037109375,221.79554748535156,0,0,0,40000
1130554,-36.54060363769531,68.03620147705078,-17.0,-54.0,-415.569091796875,223.16464233398438,0,0,0,40000
1130564,-36.54905700683594,67.92646026611328,-15.0,-139.0,-417.3575439453125,224.53155517578125,0,0,0,40000
1130574,-36.423866271972656,67.78475952148438,13.0,-443.0,-418.1351623535156,224.65562438964844,0,0,0,40000
1130584,-35.961849212646484,67.41551971435547,69.0,-656.0,-417.9468688964844,222.96853637695312,0,0,0,40000
1130594,-35.46601486206055,67.0644760131836,70.0,-1112.0,-417.85699462890625,221.06387329101562,0,0,0,40000
1130604,-34.26968002319336,66.2514419555664,51.0,-1610.0,-414.9769287109375,214.9295654296875,0,0,0,40000
1130614,-33.180606842041016,65.50906372070312,69.0,-2192.0,-412.49713134765625,209.4040985107422,0,0,0,40000
1130624,-31.12105941772461,64.01302337646484,46.0,-2906.0,-405.4605407714844,198.0064697265625,0,0,0,40000
1130634,-29.502389907836914,62.715782165527344,-11.0,-3661.0,-399.574462890625,189.1991729736328,0,0,0,40000
1130644,-26.820758819580078,60.29630661010742,-40.0,-4475.0,-386.897216796875,173.9468536376953,0,0,0,40000
1130654,-24.948408126831055,58.3196907043457,-28.0,-5324.0,-376.811279296875,163.48374938964844,0,0,0,40000
1130664,-22.12929344177246,54.77479934692383,42.0,-6230.0,-357.22967529296875,147.26675415039062,0,0,0,40000
1130674,-20.309978485107422,51.99660110473633,143.0,-7118.0,-342.1542053222656,136.98190307617188,0,0,0,40000
1130684,-17.709714889526367,47.27802276611328,248.0,-7866.0,-315.31939697265625,121.94220733642578,0,0,0,40000
1130694,-16.085735321044922,43.82497787475586,485.0,-8339.0,-295.9576110839844,112.7002182006836,0,0,0,40000
1130704,-13.842042922973633,38.374263763427734,652.0,-8599.0,-264.4705810546875,99.67974853515625,0,0,0,40000
1130714,-12.448983192443848,34.644657135009766,930.0,-8558.0,-243.17718505859375,91.71144104003906,0,0,0,40000
1130724,-10.482548713684082,29.11577796936035,1179.0,-8265.0,-210.94325256347656,80.25050354003906,0,0,0,40000
1130734,-9.224864959716797,25.588268280029297,1508.0,-7740.0,-190.58787536621094,72.99617767333984,0,0,0,40000
1130744,-7.3790764808654785,20.68036651611328,1810.0,-6991.0,-161.81829833984375,62.16485595703125,0,0,0,40000
1130754,-6.148900508880615,17.755611419677734,2123.0,-6048.0,-144.83709716796875,54.98308563232422,0,0,0,40000
1130764,-4.281160831451416,14.062992095947266,2395.0,-4926.0,-123.14518737792969,43.9276123046875,0,0,0,40000
1130774,-2.994783878326416,12.12485408782959,2580.0,-3666.0,-111.90269470214844,36.31464385986328,0,0,0,40000
1130784,-1.040594220161438,10.064579010009766,2707.0,-2435.0,-99.86502075195312,24.64426040649414,0,0,0,40000
1130794,0.26380035281181335,9.241761207580566,2736.0,-1274.0,-95.21460723876953,16.825632095336914,0,0,0,40000
1130804,2.2023158073425293,8.736233711242676,2746.0,-314.0,-92.44754028320312,5.151711463928223,0,0,0,40000
1130814,3.4786558151245117,8.78357219696045,2701.0,453.0,-92.99411010742188,-2.5953731536865234,0,0,0,40000
1130824,5.359182357788086,9.253230094909668,2584.0,918.0,-96.08304595947266,-14.016944885253906,0,0,0,40000
1130834,6.568637847900391,9.720069885253906,2445.0,1198.0,-99.16995239257812,-21.456287384033203,0,0,0,40000
1130844,8.306431770324707,10.50985050201416,2287.0,1333.0,-104.21434020996094,-32.11171340942383,0,0,0,40000
1130854,9.393742561340332,11.049348831176758,2125.0,1350.0,-107.77633666992188,-38.9044075012207,0,0,0,40000
1130864,10.885015487670898,11.816608428955078,1869.0,1231.0,-112.7254638671875,-48.16124725341797,0,0,0,40000
1130874,11.766467094421387,12.242950439453125,1632.0,983.0,-115.64581298828125,-53.79248809814453,0,0,0,40000
1130884,12.91799259185791,12.6800537109375,1412.0,641.0,-118.64431762695312,-61.07585906982422,0,0,0,40000
1130894,13.559614181518555,12.806214332580566,1144.0,203.0,-119.78419494628906,-65.32482147216797,0,0,0,40000
1130904,14.324679374694824,12.668843269348145,863.0,-319.0,-119.34278869628906,-70.33648681640625,0,0,0,40000
1130914,14.69367790222168,12.325512886047363,564.0,-947.0,-117.65702819824219,-72.98703002929688,0,0,0,40000
1130924,15.044925689697266,11.349676132202148,288.0,-1658.0,-112.15576171875,-75.54229736328125,0,0,0,40000
